,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,049080,24.60,기가레인,"1,925",365,23.40,"67,423,120","1,545","1,950","1,545","461,993","500,138",0.9237310502301365
1,062970,21.66,피피아이,"3,145",565,21.90,"2,446,113","2,600","3,220","2,585","10,160","7,740",1.3126614987080103
2,065420,20.54,에스아이리소스,540,92,20.54,"22,931,377",448,569,448,"100,037","155,969",0.6413902762728491
3,094480,17.57,갤럭시아머니트리,"6,690",940,16.35,"18,858,661","5,700","7,070","5,690","107,386","26,142",4.1077958840180555
4,391710,15.51,코닉오토메이션,"4,505",660,17.17,"4,454,551","3,900","4,515","3,900","23,852","5,812",4.103922918100482
5,348340,15.14,뉴로메카,"23,200","3,050",15.14,"6,210,014","20,550","23,600","20,150","28,651","74,941",0.38231408708183773
6,402030,14.55,코난테크놀로지,"50,400","4,650",10.16,"1,606,801","44,300","54,200","44,000","3,141","7,959",0.394647568790049
7,108230,13.02,톱텍,"9,460","1,260",15.37,"5,537,795","8,370","10,200","8,370","44,449","15,352",2.895323084940073
8,073570,12.96,어반리튬,"15,250",700,4.81,"1,172,685","13,750","15,300","13,500","75,232","31,561",2.3837014036310635
9,091440,11.28,텔레필드,"2,615",500,23.64,"6,041,290","2,365","2,745","2,350","54,594","29,456",1.853408473655622
10,294140,10.92,레몬,"3,860",385,11.08,"3,333,248","3,530","4,090","3,480","16,585","13,145",1.2616964625332827
11,063170,10.28,서울옥션,"19,850","1,850",10.28,"1,430,738","18,250","20,050","18,000","21,122","65,447",0.3227344263297019
12,159580,10.08,제로투세븐,"8,520",780,10.08,"881,624","7,800","8,700","7,740","8,545","22,410",0.38130298973672466
13,198940,10.00,한주라이트메탈,"6,270",930,17.42,"27,272,972","5,850","6,860","5,700","66,209","142,922",0.4632526832817901
14,300080,9.34,플리토,"26,350","1,250",4.98,"154,587","24,800","26,500","24,100","3,795","8,584",0.44210158434296365
15,046210,9.18,파나진,"4,045",50,1.25,"368,525","3,825","4,045","3,705","2,610","12,875",0.20271844660194174
16,377480,8.70,마인즈랩,"21,250",950,4.68,"489,808","19,900","21,650","19,550","9,505","28,280",0.3361032531824611
17,289220,8.67,자이언트스텝,"21,300","1,700",8.67,"1,918,751","19,600","22,450","19,600","39,262","36,805",1.0667572340714577
18,102370,8.62,케이옥션,"5,230",380,7.84,"1,215,607","4,815","5,290","4,815","38,592","57,072",0.6761984861227922
19,322780,8.58,코퍼스코리아,"3,480",245,7.57,"20,489,202","3,210","3,870","3,205","195,693","43,206",4.529301485904735
20,185490,8.39,아이진,"5,940",440,8.00,"393,540","5,500","6,310","5,480","3,367","11,917",0.2825375513971637
21,000440,8.33,중앙에너비스,"20,800","1,800",9.47,"460,465","19,250","22,600","19,200","7,831","3,469",2.257422888440473
22,046310,7.90,백금T&A,"3,345",185,5.85,"2,745,682","3,100","3,670","3,100","66,222","7,601",8.712274700697277
23,219550,7.86,디와이디,"1,510",105,7.47,"1,221,831","1,400","1,555","1,400","47,554","129,457",0.3673343272283461
24,066980,7.80,이엔코퍼레이션,"4,010",185,4.84,"294,420","3,825","4,035","3,720","20,925","17,908",1.168472191199464
25,307870,7.56,비투엔,"2,205",95,4.50,"1,658,268","2,140","2,305","2,050","22,108","16,319",1.3547398737667748
26,224060,7.45,더코디,"8,650",550,6.79,"1,400,552","8,060","9,530","8,050","3,976","2,140",1.857943925233645
27,294570,7.32,쿠콘,"34,450","2,250",6.99,"221,496","32,450","34,950","32,100","4,306","16,124",0.2670553212602332
28,357880,7.24,비트나인,"9,330",590,6.75,"1,099,582","8,740","9,450","8,700","14,463","18,310",0.7898962315674495
29,286750,7.14,나노브릭,"1,575",80,5.35,"200,684","1,500","1,580","1,470","6,790","32,473",0.2090967881008838
30,044480,6.97,블레이드 Ent,"1,535",100,6.97,"1,799,049","1,460","1,700","1,435","84,849","44,466",1.9081770341384428
31,035290,6.96,골드앤에스,"7,380",480,6.96,"240,676","6,960","7,820","6,900","3,406","9,185",0.3708219923788786
32,041830,6.85,인바디,"21,850","1,350",6.59,"175,743","20,550","21,950","20,450","9,706","26,395",0.36772115931047544
33,051980,6.67,중앙디앤엠,"1,520",50,3.40,"864,693","1,510","1,540","1,425","55,635","100,744",0.5522413245453823
34,276040,6.62,스코넥,"14,500",650,4.69,"236,090","13,700","14,600","13,600","24,836","62,627",0.3965701694157472
35,293580,6.58,나우IB,"12,950",600,4.86,"172,514","12,150","13,250","12,150","19,577","23,391",0.8369458338677269
36,277810,6.57,레인보우로보틱스,"64,900","3,200",5.19,"2,860,439","61,100","67,800","60,900","23,726","25,556",0.9283925496947879
37,368970,6.52,오에스피,"7,030",480,7.33,"1,354,562","6,740","7,200","6,600","7,885","15,954",0.4942334210856212
38,310200,6.42,애니플러스,"4,560",285,6.67,"2,378,570","4,285","4,660","4,285","38,269","30,344",1.2611718955971527
39,099430,6.40,바이오플러스,"7,980",380,5.00,"5,512,995","7,620","8,210","7,500","120,824","46,336",2.6075621546961325
40,232680,6.32,라온테크,"10,100",500,5.21,"214,535","9,600","10,150","9,500","12,179","57,083",0.21335599039994393
41,239610,6.32,에이치엘사이언스,"19,350","1,250",6.91,"73,645","18,200","20,300","18,200","10,636",984,10.808943089430894
42,101670,6.28,하이드로리튬,"19,450",100,0.51,"1,399,465","18,800","19,800","18,300","96,388","29,075",3.3151504729148753
43,222110,6.26,팬젠,"6,280",350,5.90,"222,823","5,910","7,200","5,910","1,542","1,269",1.215130023640662
44,214270,6.17,FSN,"4,045",165,4.25,"4,149,948","3,870","4,190","3,810","60,270","8,405",7.170731707317073
45,304100,6.12,솔트룩스,"23,400",800,3.54,"2,338,059","22,250","24,650","22,050","30,943","21,984",1.4075236535662299
46,042520,6.09,한스바이오메드,"12,200",500,4.27,"47,601","11,700","12,250","11,500","16,050","20,564",0.7804901770083641
47,060570,6.04,드림어스컴퍼니,"3,070",165,5.68,"1,468,714","2,905","3,570","2,895","14,287","4,546",3.1427628684557853
48,085670,6.03,뉴프렉스,"6,680",290,4.54,"780,169","6,380","6,700","6,300","16,532","91,825",0.18003811598148653
49,070590,5.93,한솔인티큐브,"1,875",90,5.04,"33,671","1,785","1,890","1,770","13,642","3,764",3.624335812964931
50,099440,5.88,스맥,"2,070",70,3.50,"732,226","2,010","2,090","1,955","82,695","131,867",0.6271091326867222
51,024830,5.65,세원물산,"10,100",50,0.50,"77,114","10,050","10,100","9,560","2,255","3,078",0.7326185834957765
52,355150,5.52,교보10호스팩,"2,295",105,4.79,"73,140","2,175","2,300","2,175","39,102","5,627",6.948995912564421
53,108860,5.48,셀바스AI,"11,550",200,1.76,"7,490,453","11,200","12,200","10,950","288,383","175,765",1.6407305208659289
54,214450,5.42,파마리서치,"75,800","3,200",4.41,"83,920","71,900","76,000","71,900","4,628","7,527",0.614853195164076
55,065370,5.36,위세아이텍,"14,750","1,650",12.60,"1,530,111","14,550","15,750","14,000","35,474","31,002",1.144248758144636
56,228850,5.35,레이언스,"12,800",600,4.92,"94,874","12,150","12,800","12,150","12,295","45,062",0.2728463006524344
57,274090,5.31,켄코아에어로스페이스,"12,900",700,5.74,"86,501","12,250","12,900","12,250","18,947","62,393",0.30367188626929303
