,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,062970,22.44,피피아이,"3,165",585,22.67,"834,543","2,600","3,170","2,585","12,042","4,178",2.8822403063666826
1,094480,17.05,갤럭시아머니트리,"6,660",910,15.83,"10,032,863","5,700","6,800","5,690","82,390","153,658",0.5361907613010712
2,224060,14.66,더코디,"9,230","1,130",13.95,"530,333","8,060","9,340","8,050","5,975","2,984",2.0023458445040214
3,091440,14.04,텔레필드,"2,680",565,26.71,"3,703,888","2,365","2,745","2,350","31,421","15,169",2.0713956094666757
4,198940,14.04,한주라이트메탈,"6,500","1,160",21.72,"17,620,302","5,850","6,860","5,700","166,621","49,805",3.345467322557976
5,065370,10.71,위세아이텍,"15,500","2,400",18.32,"911,750","14,550","15,700","14,000","23,636","42,682",0.5537697390000469
6,307280,9.97,원바이오젠,"1,985",270,15.74,"6,640,533","1,810","2,160","1,805","122,039","88,264",1.3826588416568477
7,065420,9.82,에스아이리소스,492,44,9.82,"802,150",448,492,448,"24,227","28,162",0.8602727079042681
8,391710,9.36,코닉오토메이션,"4,265",420,10.92,"816,372","3,900","4,285","3,900","15,895","16,264",0.977311854402361
9,425040,9.06,티이엠씨,"30,100","2,000",7.12,"777,755","27,700","30,300","27,600","12,505","4,262",2.934068512435476
10,219550,8.57,디와이디,"1,520",115,8.19,"479,734","1,400","1,530","1,400","39,306","75,158",0.5229782591340908
11,348340,8.44,뉴로메카,"21,850","1,700",8.44,"2,123,442","20,550","22,800","20,150","35,820","43,385",0.8256309784487726
12,322780,8.27,코퍼스코리아,"3,470",235,7.26,"3,104,968","3,210","3,510","3,205","89,081","107,720",0.8269680653546231
13,289220,8.16,자이언트스텝,"21,200","1,600",8.16,"355,815","19,600","21,450","19,600","15,740","24,590",0.640097600650671
14,239610,7.97,에이치엘사이언스,"19,650","1,550",8.56,"22,971","18,200","19,900","18,200","6,950",522,13.314176245210728
15,063170,7.50,서울옥션,"19,350","1,350",7.50,"520,267","18,250","19,600","18,000","27,877","38,466",0.7247179327198044
16,066980,7.26,이엔코퍼레이션,"3,990",165,4.31,"176,540","3,825","4,035","3,720","15,828","13,280",1.191867469879518
17,304100,7.26,솔트룩스,"23,650","1,050",4.65,"1,260,023","22,250","24,650","22,050","47,645","26,070",1.8275795934023782
18,058970,7.16,엠로,"17,950",800,4.66,"28,226","16,850","17,950","16,750","15,068","3,261",4.62066850659307
19,036030,7.07,케이티알파,"8,330",560,7.21,"4,892,557","8,030","8,630","7,780","32,518","43,408",0.7491245853298931
20,227610,6.86,아우딘퓨쳐스,"2,335",85,3.78,"2,267,034","2,270","2,375","2,185","115,468","42,368",2.7253587613293053
21,377030,6.80,맥스트,"15,700","1,050",7.17,"1,370,562","15,000","15,900","14,700","72,686","113,981",0.6377027750239075
22,086960,6.61,MDS테크,"1,935",345,15.13,"8,856,038","1,820","1,985","1,815","214,115","213,118",1.0046781595172627
23,102370,6.54,케이옥션,"5,130",280,5.77,"422,966","4,815","5,190","4,815","18,562","52,072",0.3564679674297127
24,064480,6.53,브리지텍,"5,550",430,8.40,"758,222","5,210","5,560","5,210","22,780","55,835",0.4079878212590669
