,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,049080,23.95,기가레인,"1,915",355,22.76,"74,664,981","1,545","1,950","1,545","740,260","777,474",0.9521347337660166
1,391710,23.72,코닉오토메이션,"4,825",980,25.49,"9,413,862","3,900","4,900","3,900","31,798","33,222",0.9571368370356992
2,065420,22.10,에스아이리소스,547,99,22.10,"30,066,905",448,576,448,"300,305","199,105",1.5082745285151051
3,094480,18.63,갤럭시아머니트리,"6,750","1,000",17.39,"20,190,583","5,700","7,070","5,690","83,667","52,103",1.6058000499011573
4,402030,16.14,코난테크놀로지,"51,100","5,350",11.69,"1,672,371","44,300","54,200","44,000","8,087","7,937",1.018898828272647
5,062970,15.67,피피아이,"2,990",410,15.89,"2,820,392","2,600","3,220","2,585","10,749","12,154",0.8844001974658549
6,053290,15.44,NE능률,"5,720",770,15.56,"3,932,926","4,960","5,780","4,955","7,556","55,632",0.13582111015243026
7,108230,13.74,톱텍,"9,520","1,320",16.10,"8,569,401","8,370","10,200","8,370","48,297","42,720",1.1305477528089887
8,063170,13.33,서울옥션,"20,400","2,400",13.33,"1,807,788","18,250","20,650","18,000","24,389","64,245",0.3796248735310141
9,091440,12.55,텔레필드,"2,645",530,25.06,"6,266,750","2,365","2,745","2,350","41,522","43,388",0.9569927168802433
10,348340,11.17,뉴로메카,"22,400","2,250",11.17,"6,710,018","20,550","23,600","20,150","39,867","29,032",1.3732088729677596
11,322780,10.76,코퍼스코리아,"3,550",315,9.74,"21,563,898","3,210","3,870","3,205","77,891","109,365",0.7122114021853426
12,219550,10.36,디와이디,"1,545",140,9.96,"1,369,592","1,400","1,555","1,400","80,884","122,998",0.6576041886859949
13,102370,10.28,케이옥션,"5,310",460,9.48,"1,673,589","4,815","5,340","4,815","51,182","43,010",1.1900023250406881
14,159580,10.21,제로투세븐,"8,530",790,10.21,"937,189","7,800","8,700","7,740","26,957","17,212",1.566174761794097
15,046210,9.85,파나진,"4,070",75,1.88,"386,604","3,825","4,080","3,705","9,526","6,982",1.3643655113148094
16,198940,9.65,한주라이트메탈,"6,250",910,17.04,"28,217,021","5,850","6,860","5,700","99,841","81,814",1.2203412618867187
17,277810,9.52,레인보우로보틱스,"66,700","5,000",8.10,"3,418,575","61,100","67,800","60,900","12,470","34,444",0.36203692950876787
18,289220,9.44,자이언트스텝,"21,450","1,850",9.44,"2,032,687","19,600","22,450","19,600","73,319","45,349",1.6167721449205055
19,035290,9.13,골드앤에스,"7,530",630,9.13,"252,302","6,960","7,820","6,900","2,264","3,690",0.6135501355013551
20,294140,9.05,레몬,"3,795",320,9.21,"3,634,621","3,530","4,090","3,480","21,452","11,729",1.8289709267627248
21,222110,8.97,팬젠,"6,440",510,8.60,"230,360","5,910","7,200","5,910","3,751","2,721",1.37853730246233
22,073570,8.89,어반리튬,"14,700",150,1.03,"1,843,271","13,750","15,850","13,500","24,438","24,912",0.9809730250481695
23,300080,8.51,플리토,"26,150","1,050",4.18,"164,057","24,800","26,500","24,100","3,600","6,145",0.5858421480878763
24,051980,8.42,중앙디앤엠,"1,545",75,5.10,"974,534","1,510","1,545","1,425","41,915","93,655",0.44754684747210505
25,377480,8.18,마인즈랩,"21,150",850,4.19,"629,143","19,900","21,800","19,550","13,595","26,920",0.5050148588410104
26,044480,8.01,블레이드 Ent,"1,550",115,8.01,"1,863,900","1,460","1,700","1,435","68,350","59,514",1.1484692677353228
27,005160,7.75,동국산업,"4,380",305,7.48,"7,302,165","4,075","4,590","4,065","86,829","80,176",1.0829799441229295
28,046310,7.58,백금T&A,"3,335",175,5.54,"2,783,765","3,100","3,670","3,100","69,714","5,411",12.883755313250786
29,066980,7.26,이엔코퍼레이션,"3,990",165,4.31,"312,398","3,825","4,035","3,720","26,284","19,514",1.3469304089371734
30,099430,7.07,바이오플러스,"8,030",430,5.66,"5,836,825","7,620","8,210","7,500","94,820","112,343",0.8440223244883971
31,294570,7.01,쿠콘,"34,350","2,150",6.68,"245,706","32,450","34,950","32,100","5,431","8,353",0.6501855620735065
32,214270,6.96,FSN,"4,075",195,5.03,"4,247,965","3,870","4,190","3,810","55,595","28,378",1.9590880259355838
33,185490,6.93,아이진,"5,860",360,6.55,"414,082","5,500","6,310","5,480","13,394","7,734",1.7318334626325316
34,368970,6.67,오에스피,"7,040",490,7.48,"1,401,497","6,740","7,200","6,600","18,482","7,841",2.357097309016707
35,357880,6.67,비트나인,"9,280",540,6.18,"1,239,818","8,740","9,450","8,700","16,401","3,407",4.813912533020252
