,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,049080,23.95,기가레인,"1,915",355,22.76,"46,001,638","1,545","1,920","1,545","446,962","844,574",0.529215912400808
1,062970,19.34,피피아이,"3,085",505,19.57,"1,843,791","2,600","3,220","2,585","13,719","9,480",1.4471518987341772
2,065420,18.97,에스아이리소스,533,85,18.97,"18,069,983",448,569,448,"113,083","187,157",0.6042146433208483
3,094480,16.87,갤럭시아머니트리,"6,650",900,15.65,"17,702,124","5,700","7,070","5,690","106,831","45,496",2.3481404958677685
4,402030,14.55,코난테크놀로지,"50,400","4,650",10.16,"1,370,284","44,300","54,200","44,000","10,763","4,068",2.645771878072763
5,322780,13.73,코퍼스코리아,"3,645",410,12.67,"16,860,662","3,210","3,870","3,205","66,906","48,901",1.368192879491217
6,348340,12.90,뉴로메카,"22,750","2,600",12.90,"5,088,996","20,550","23,500","20,150","43,358","28,184",1.5383905762134544
7,159580,11.63,제로투세븐,"8,640",900,11.63,"737,906","7,800","8,700","7,740","9,400","53,152",0.17685129440096328
8,091440,11.49,텔레필드,"2,620",505,23.88,"5,649,735","2,365","2,745","2,350","91,750","32,805",2.796829751562262
9,294140,11.35,레몬,"3,875",400,11.51,"917,834","3,530","4,035","3,480","3,540","5,505",0.6430517711171662
10,046310,11.13,백금T&A,"3,445",285,9.02,"2,373,056","3,100","3,670","3,100","14,654","14,701",0.9968029385756071
11,198940,10.70,한주라이트메탈,"6,310",970,18.16,"24,882,653","5,850","6,860","5,700","82,506","129,216",0.6385122585438335
12,063170,9.17,서울옥션,"19,650","1,650",9.17,"1,290,890","18,250","20,050","18,000","26,158","41,028",0.6375645900360729
13,307280,9.14,원바이오젠,"1,970",255,14.87,"8,429,229","1,810","2,160","1,805","106,266","84,965",1.2507032307420702
14,060570,8.81,드림어스컴퍼니,"3,150",245,8.43,"1,311,696","2,905","3,570","2,895","5,622","8,725",0.6443553008595988
15,102370,8.62,케이옥션,"5,230",380,7.84,"1,067,005","4,815","5,290","4,815","34,988","94,374",0.37073770318096083
16,294570,8.57,쿠콘,"34,850","2,650",8.23,"185,026","32,450","34,950","32,100","2,399","13,793",0.17392880446603348
17,224060,8.57,더코디,"8,740",640,7.90,"1,153,504","8,060","9,530","8,050","4,583","7,017",0.6531281174291007
18,307870,8.54,비투엔,"2,225",115,5.45,"1,518,491","2,140","2,305","2,050","63,959","38,957",1.6417845316631157
19,185490,8.21,아이진,"5,930",430,7.82,"359,127","5,500","6,310","5,480","4,034","7,497",0.5380818994264372
20,289220,8.16,자이언트스텝,"21,200","1,600",8.16,"1,767,073","19,600","22,450","19,600","37,550","27,661",1.3575069592567153
21,099430,8.13,바이오플러스,"8,110",510,6.71,"4,675,402","7,620","8,210","7,500","50,491","218,729",0.2308381604634045
22,222110,8.12,팬젠,"6,390",460,7.76,"202,684","5,910","7,200","5,910","5,921","5,356",1.1054891710231516
23,035290,7.97,골드앤에스,"7,450",550,7.97,"102,706","6,960","7,470","6,900","6,738","8,002",0.8420394901274681
24,046210,7.96,파나진,"4,000",5,0.13,"347,733","3,825","4,045","3,705","5,750","7,177",0.8011704054618921
25,293580,7.82,나우IB,"13,100",750,6.07,"162,696","12,150","13,250","12,150","15,358","25,796",0.5953636222670181
26,377480,7.67,마인즈랩,"21,050",750,3.69,"428,570","19,900","21,650","19,550","14,866","11,285",1.3173238812583075
27,300080,7.47,플리토,"25,900",800,3.19,"132,504","24,800","26,500","24,100","2,839","5,399",0.5258381181700315
28,310200,7.35,애니플러스,"4,600",325,7.60,"1,566,431","4,285","4,600","4,285","22,875","99,300",0.23036253776435045
29,277810,7.22,레인보우로보틱스,"65,300","3,600",5.83,"1,541,059","61,100","65,700","60,900","24,570","82,115",0.29921451622724227
30,219550,7.14,디와이디,"1,500",95,6.76,"1,129,643","1,400","1,555","1,400","41,180","78,342",0.5256439713053024
31,066980,6.99,이엔코퍼레이션,"3,980",155,4.05,"255,620","3,825","4,035","3,720","32,026","30,181",1.0611311752427024
32,368970,6.97,오에스피,"7,060",510,7.79,"1,266,606","6,740","7,200","6,600","11,465","19,693",0.582186563753618
33,304100,6.58,솔트룩스,"23,500",900,3.98,"2,202,744","22,250","24,650","22,050","35,188","11,343",3.102177554438861
34,391710,6.41,코닉오토메이션,"4,150",305,7.93,"1,189,070","3,900","4,285","3,900","3,602","12,758",0.28233265402100644
35,108860,6.39,셀바스AI,"11,650",300,2.64,"6,660,559","11,200","12,200","10,950","249,107","323,244",0.7706469416292336
36,232680,6.32,라온테크,"10,100",500,5.21,"174,807","9,600","10,150","9,500","6,793","56,233",0.12080095317696014
37,357880,6.32,비트나인,"9,250",510,5.84,"729,766","8,740","9,310","8,700","19,473","17,295",1.1259323503902863
38,044480,6.27,블레이드 Ent,"1,525",90,6.27,"1,717,108","1,460","1,700","1,435","44,681","53,808",0.8303783823966696
39,276040,6.25,스코넥,"14,450",600,4.33,"168,801","13,700","14,500","13,600","16,907","61,508",0.27487481303245104
40,016670,6.25,디모아,493,15,3.14,"684,797",481,515,464,"27,314","24,858",1.0988011907635369
41,179290,6.19,엠아이텍,"11,150",550,5.19,"264,407","10,650","11,200","10,500","34,732","68,135",0.5097526968518382
42,041830,6.11,인바디,"21,700","1,200",5.85,"120,174","20,550","21,800","20,450","4,069","20,744",0.1961531045121481
43,301300,6.08,바이브컴퍼니,"28,800",900,3.23,"84,320","27,750","29,150","27,150","2,592","2,383",1.087704574066303
44,214270,6.04,FSN,"4,040",160,4.12,"3,971,912","3,870","4,190","3,810","36,321","40,088",0.9060317301935742
45,041190,5.86,우리기술투자,"4,785",285,6.33,"6,198,803","4,530","4,920","4,520","69,511","21,550",3.225568445475638
46,239610,5.77,에이치엘사이언스,"19,250","1,150",6.35,"69,522","18,200","20,300","18,200","12,488",814,15.341523341523342
47,296640,5.69,이노룰스,"13,000",450,3.59,"380,469","12,600","13,300","12,300","24,973","56,574",0.44142185456216637
48,085370,5.60,루트로닉,"21,700","1,300",6.37,"1,023,526","20,550","21,850","20,550","42,622","143,677",0.2966515169442569
49,161570,5.60,THE MIDONG,"1,225",15,1.24,"169,866","1,210","1,250","1,160","40,358","24,904",1.6205428846771603
