,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,086960,MDS테크,"1,895",385,16.89,"12,061,260","1,820","1,985","1,815","299,813","224,581",1.3349882670395092
1,031510,오스템,"1,835",150,7.56,"3,951,754","1,970","2,035","1,810","206,800","57,234",3.613236887164972
2,032685,소프트센우,"23,150","1,700",6.84,"4,069","23,700","23,700","23,150",151,374,0.4037433155080214
3,086900,메디톡스,"126,800","9,000",6.63,"89,714","134,300","134,300","126,600","5,504",790,6.9670886075949365
4,380540,옵티코어,"3,135",195,5.86,"3,707,473","3,280","3,340","3,090","118,087","39,061",3.023143288702286
5,060720,KH바텍,"14,550",900,5.83,"289,793","15,400","15,400","14,450","49,308","18,234",2.7041790062520565
6,101670,하이드로리튬,"18,450","1,100",5.63,"989,859","18,800","19,500","18,300","57,191","30,959",1.8473141897348107
7,066410,버킷스튜디오,"1,550",90,5.49,"5,787,844","1,505","1,575","1,475","568,824","159,702",3.5617838223691627
8,236810,엔비티,"6,620",380,5.43,"435,268","6,860","6,860","6,590","47,236","8,296",5.693828351012536
9,226330,신테카바이오,"9,280",520,5.31,"141,748","9,800","9,800","9,200","4,855","6,034",0.8046072257209148
10,900100,애머릿지,"2,230",120,5.11,"197,898","2,350","2,350","2,145","90,452",990,91.36565656565656
11,073570,어반리튬,"13,850",700,4.81,"776,038","13,750","14,650","13,700","129,366","30,212",4.28194095061565
12,288330,브릿지바이오테라퓨틱스,"10,900",500,4.39,"52,674","11,250","11,300","10,850","22,259","9,297",2.3942131870495857
13,252500,세화피앤씨,"1,385",60,4.15,"847,965","1,440","1,440","1,365","250,844","67,330",3.7255903757611764
14,060230,소니드,"4,020",165,3.94,"1,711,792","4,235","4,255","3,950","88,035","16,671",5.280727010977146
15,263600,덕우전자,"7,080",290,3.93,"228,265","7,200","7,210","7,040","46,685","6,919",6.7473623355976295
16,314140,알피바이오,"14,150",550,3.74,"192,290","14,600","14,600","14,150","41,580","15,003",2.7714457108578285
17,376290,씨유테크,"4,690",180,3.70,"208,137","4,895","4,905","4,685","10,657","13,455",0.7920475659606094
18,203690,프로스테믹스,"1,045",40,3.69,"27,195","1,075","1,075","1,035","48,313","81,935",0.5896503325807042
19,351330,이삭엔지니어링,"9,730",370,3.66,"115,242","10,000","10,150","9,590","9,988","3,999",2.4976244061015254
20,320000,윈텍,"2,805",105,3.61,"74,230","2,910","2,915","2,785","25,972","10,418",2.4929928969091955
21,095660,네오위즈,"39,150","1,450",3.57,"112,750","40,700","40,900","39,150","10,040","3,479",2.8858867490658233
22,082920,비츠로셀,"16,450",600,3.52,"294,735","16,900","17,250","16,400","39,083","16,660",2.345918367346939
23,239890,피엔에이치테크,"13,800",500,3.50,"36,709","14,150","14,650","13,750","8,689","9,556",0.9092716617831729
24,207760,미스터블루,"3,385",120,3.42,"2,887,524","3,470","3,520","3,345","167,881","48,181",3.484381810257155
25,083470,이엠앤아이,"5,940",210,3.41,"206,250","6,200","6,200","5,900","15,252","41,851",0.3644357363025973
26,115440,우리넷,"9,080",320,3.40,"579,823","9,540","9,600","8,990","39,324","7,579",5.188547301754849
27,036890,진성티이씨,"11,400",400,3.39,"409,970","11,800","11,850","11,250","96,808","66,353",1.458984522176842
28,205470,휴마시스,"17,150",600,3.38,"632,613","17,400","17,600","17,000","130,903","59,931",2.1842285294755635
29,035080,그래디언트,"15,950",550,3.33,"92,620","16,800","16,800","15,900","21,938","6,769",3.2409513960703205
30,096610,알에프세미,"3,020",100,3.21,"135,319","3,120","3,120","2,935","20,194","3,332",6.06062424969988
31,187790,나노,"1,355",45,3.21,"1,259,981","1,375","1,395","1,335","214,341","85,446",2.508496594340285
32,241820,피씨엘,"12,250",400,3.16,"3,768","12,650","12,750","12,200","2,923","2,196",1.3310564663023678
33,352480,씨앤씨인터내셔널,"30,800","1,000",3.14,"49,597","31,750","31,750","30,500","7,537","3,456",2.1808449074074074
34,084650,랩지노믹스,"6,600",210,3.08,"331,051","6,730","6,820","6,580","74,057","21,809",3.3957081938649183
35,322510,제이엘케이,"3,820",120,3.05,"25,381","3,930","3,930","3,775","3,290","1,524",2.158792650918635
36,050120,ES큐브,"4,460",140,3.04,"306,476","4,500","4,780","4,410","10,136","1,450",6.990344827586207
37,086670,비엠티,"14,500",450,3.01,"55,275","14,950","15,050","14,450","22,990","6,638",3.4633925881289547
38,033230,인성정보,"2,260",70,3.00,"496,278","2,280","2,300","2,250","140,930","61,653",2.285857946896339
39,025980,아난티,"7,170",220,2.98,"592,456","7,330","7,380","7,170","134,358","19,361",6.93962088735086
