,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,086960,MDS테크,"1,905",375,16.45,"14,993,757","1,820","1,985","1,815","256,193","344,281",0.7441392351015594
1,226330,신테카바이오,"8,920",880,8.98,"303,779","9,800","9,800","8,880","11,177","13,319",0.8391771153990539
2,031510,오스템,"1,830",155,7.81,"4,307,321","1,970","2,035","1,810","123,863","94,194",1.3149775994224686
3,900100,애머릿지,"2,200",150,6.38,"279,080","2,350","2,350","2,145","5,667","5,852",0.9683868762816131
4,086900,메디톡스,"127,300","8,500",6.26,"148,254","134,300","134,300","125,600","6,111","2,423",2.5220800660338423
5,275630,에스에스알,"6,170",390,5.95,"272,025","6,590","6,800","6,010","8,963","18,746",0.4781286674490558
6,066410,버킷스튜디오,"1,550",90,5.49,"6,374,889","1,505","1,575","1,475","452,724","415,118",1.0905911090340579
7,236810,엔비티,"6,620",380,5.43,"539,859","6,860","6,860","6,590","53,769","14,212",3.783352096819589
8,380540,옵티코어,"3,155",175,5.26,"4,613,144","3,280","3,340","3,090","86,412","194,419",0.44446273255185964
9,032685,소프트센우,"23,550","1,300",5.23,"5,917","23,700","24,050","23,150",637,48,13.270833333333334
10,288330,브릿지바이오테라퓨틱스,"10,850",550,4.82,"83,909","11,250","11,300","10,800","27,689","10,973",2.52337555818828
11,131290,티에스이,"40,500","2,000",4.71,"146,701","42,650","43,050","39,750","7,879","2,965",2.657335581787521
12,252500,세화피앤씨,"1,380",65,4.50,"1,022,531","1,440","1,440","1,365","283,004","81,792",3.460044992175274
13,351330,이삭엔지니어링,"9,670",430,4.26,"174,145","10,000","10,150","9,590","12,801","6,165",2.0763990267639905
14,060720,KH바텍,"14,800",650,4.21,"380,298","15,400","15,400","14,450","83,354","34,114",2.4433956733305973
15,298870,다올인베스트먼트,"3,270",135,3.96,"2,589,906","3,400","3,440","3,260","153,917","71,481",2.1532575089884025
16,195940,HK이노엔,"39,550","1,550",3.77,"473,231","41,250","41,250","39,500","28,929","11,632",2.4870185694635487
17,115440,우리넷,"9,060",340,3.62,"664,112","9,540","9,600","8,990","25,777","7,487",3.4429010284493122
18,187790,나노,"1,350",50,3.57,"1,482,254","1,375","1,395","1,335","260,346","107,186",2.42891795570317
19,263600,덕우전자,"7,110",260,3.53,"282,368","7,200","7,210","7,040","52,847","12,800",4.128671875
20,096610,알에프세미,"3,010",110,3.53,"158,737","3,120","3,120","2,935","30,712","8,835",3.4761743067345785
21,060230,소니드,"4,040",145,3.46,"1,992,537","4,235","4,255","3,950","46,992","37,452",1.2547260493431593
22,419080,엔젯,"14,000",500,3.45,"130,185","14,350","14,800","13,900","32,830","9,408",3.4895833333333335
23,027050,코리아나,"3,525",125,3.42,"673,366","3,650","3,655","3,520","57,443","25,143",2.284651791751183
24,376290,씨유테크,"4,705",165,3.39,"275,386","4,895","4,905","4,670","11,185","2,309",4.844088349935037
25,036890,진성티이씨,"11,400",400,3.39,"624,268","11,800","11,850","11,250","84,101","39,440",2.1323782961460447
26,035080,그래디언트,"15,950",550,3.33,"139,197","16,800","16,800","15,800","32,107","12,780",2.512284820031299
27,095660,네오위즈,"39,250","1,350",3.33,"228,332","40,700","40,900","38,900","14,117","7,639",1.848016756119911
28,241520,DSC인베스트먼트,"3,815",130,3.30,"777,763","4,130","4,330","3,810","27,687","10,506",2.635351227869789
