,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
1,347860,24.33,알체라,"11,600","2,200",23.40,"8,427,883","9,420","11,900","9,330","123,603","437,049",0.2828126823308142
2,220180,18.38,핸디소프트,"4,025",595,17.35,"3,134,974","3,580","4,090","3,400","6,629","14,419",0.4597406200152577
3,264850,17.77,이랜시스,"3,015",425,16.41,"1,697,511","2,560","3,035","2,560","20,240","34,830",0.5811082400229687
4,019770,15.54,서연탑메탈,"5,020",685,15.80,"7,494,906","4,345","5,630","4,345","93,824","43,683",2.1478378316507567
5,052020,15.05,에스티큐브,"16,050","1,950",13.83,"1,348,219","14,200","16,200","13,950","16,866","80,021",0.21076967296084778
6,380540,12.84,옵티코어,"2,945",280,10.51,"13,372,515","2,610","3,005","2,610","108,388","81,221",1.3344824614323882
7,106520,11.36,노블엠앤비,"1,765",220,14.24,"3,319,570","1,590","2,000","1,585","42,524","39,313",1.0816778164983594
8,229000,10.56,젠큐릭스,"5,970","1,150",16.15,"684,064","5,470","6,400","5,400","7,731","5,305",1.4573044297832234
9,128540,10.25,에코캡,"4,410",375,9.29,"3,644,169","4,040","4,630","4,000","24,996","25,209",0.9915506366773771
10,217480,10.21,에스디생명공학,"1,565",145,10.21,"2,397,247","1,435","1,635","1,420","88,119","172,897",0.5096618217782842
11,046070,9.39,코다코,"1,165",90,8.37,"2,933,587","1,075","1,260","1,065","93,130","86,259",1.0796554562422471
12,300080,8.85,플리토,"26,450","2,050",8.40,"262,000","24,650","26,750","24,300","6,335","6,620",0.9569486404833837
13,032685,8.59,소프트센우,"22,750","3,050",15.48,"6,135","21,250","23,200","20,950",114,441,0.2585034013605442
14,082660,8.53,코스나인,891,16,1.83,"2,249,341",871,909,821,"12,409","41,929",0.2959526819146653
15,215000,7.60,골프존,"128,900","9,200",7.69,"72,996","120,900","129,400","119,800","1,222","4,027",0.30345170101812763
16,144960,7.51,뉴파워프라즈마,"4,225",335,8.61,"250,285","3,930","4,265","3,930","23,933","20,229",1.1831034653220625
17,900310,7.22,컬러레이,"1,410",100,7.63,"13,001,940","1,330","1,440","1,315","394,408","574,781",0.6861883047630315
18,041460,7.17,한국전자인증,"5,680",250,4.60,"2,519,615","5,400","5,870","5,300","24,902","25,975",0.9586910490856593
19,099440,6.97,스맥,"1,995",110,5.84,"1,656,449","1,890","2,035","1,865","81,074","121,612",0.6666611847515048
20,305090,6.94,마이크로디지탈,"4,240",75,1.80,"71,785","4,165","4,255","3,965","5,222","4,359",1.1979811883459508
21,348340,6.67,뉴로메카,"20,000",950,4.99,"2,267,809","19,050","20,500","18,750","45,068","112,959",0.3989766198355155
22,199820,6.59,제일전기공업,"9,700",20,0.21,"3,684","9,100","9,760","9,100","1,166","1,115",1.0457399103139013
23,277810,6.57,레인보우로보틱스,"60,000","3,300",5.82,"2,402,092","57,200","61,400","56,300","24,143","58,228",0.41462870096860616
24,073570,6.37,어반리튬,"16,700","1,100",7.05,"2,886,600","15,700","18,000","15,700","66,220","33,164",1.9967434567603426
25,047560,6.31,이스트소프트,"10,950",600,5.80,"465,907","10,400","11,000","10,300","37,762","110,416",0.34199753658890014
26,340440,6.28,세림B&G,"2,370",110,4.87,"361,101","2,270","2,395","2,230","31,337","39,920",0.7849949899799599
27,335890,6.02,비올,"3,785",185,5.14,"2,919,111","3,600","3,820","3,570","53,929","76,006",0.7095360892561113
28,200350,5.98,래몽래인,"24,800","2,900",13.24,"5,501,573","24,550","26,350","23,400","96,452","24,509",3.935370680158309
29,236810,5.82,엔비티,"6,910",260,3.91,"4,066,114","6,610","7,130","6,530","48,546","68,960",0.7039733178654293
30,078890,5.60,가온미디어,"7,730",380,5.17,"606,109","7,380","7,840","7,320","13,270","30,471",0.4354960454202356
31,101390,5.45,아이엠,"5,420",240,4.63,"37,734","5,190","5,470","5,140","2,289","11,966",0.19129199398295169
32,304100,5.44,솔트룩스,"20,350",150,0.74,"872,837","19,650","20,900","19,300","33,635","58,566",0.574309326230236
33,064800,5.22,젬백스링크,"1,410",55,4.06,"5,821,185","1,355","1,475","1,340","271,041","323,032",0.839053096906808
34,171090,5.22,선익시스템,"20,150",800,4.13,"262,654","19,450","20,200","19,150","17,368","39,824",0.43611892326235435
35,301300,5.19,바이브컴퍼니,"26,350",600,2.33,"99,913","25,650","26,550","25,050","4,149","4,184",0.9916347992351816
36,052220,5.03,iMBC,"3,550",105,3.05,"413,068","3,440","3,600","3,380","12,914","5,981",2.1591707072395923
37,104540,4.98,코렌텍,"10,550",100,0.94,"24,391","10,550","10,700","10,050","10,483","57,362",0.1827516474320979
