,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,229000,젠큐릭스,"5,790","1,330",18.68,"824,751","5,470","6,400","5,400","14,418","3,582",4.025125628140704
1,096610,알에프세미,"3,070",465,13.15,"866,724","3,545","3,695","3,015","24,586","4,477",5.491623855260219
2,227610,아우딘퓨쳐스,"2,605",375,12.58,"8,478,326","2,980","2,995","2,555","69,132","32,869",2.1032583893638384
3,007390,네이처셀,"13,350","1,850",12.17,"2,244,613","14,750","14,850","13,200","137,429","60,777",2.26120078319101
4,064240,홈캐스트,"4,745",655,12.13,"1,267,530","5,350","5,490","4,650","16,743","5,828",2.8728551818805763
5,053950,경남제약,"2,455",255,9.41,"3,431,355","2,655","2,665","2,420","142,596","75,952",1.8774489151042764
6,053590,한국테크놀로지,516,50,8.83,"35,799,012",572,576,505,"859,206","526,902",1.6306751540134599
7,115450,HLB테라퓨틱스,"12,300","1,100",8.21,"1,328,213","13,500","13,750","12,250","63,449","15,759",4.026207246652707
8,019590,엠벤처투자,934,65,6.51,"3,872,363","1,000","1,000",901,"43,395","37,961",1.143146913937989
9,054180,메디콕스,"2,115",145,6.42,"2,101,283","2,240","2,310","2,095","116,149","55,325",2.0993944871215544
10,227100,에이치앤비디자인,"3,740",250,6.27,"81,125","3,970","3,970","3,735","8,222","3,749",2.1931181648439586
11,073640,테라사이언스,"2,245",150,6.26,"3,262,683","2,250","2,340","2,175","356,470","117,498",3.033838873853172
12,041590,플래스크,"1,050",70,6.25,"946,312","1,120","1,120","1,040","229,734","94,400",2.4336228813559324
13,032750,삼진,"7,560",490,6.09,"216,566","8,020","8,050","7,510","11,392","4,989",2.283423531769894
14,351330,이삭엔지니어링,"10,050",650,6.07,"313,826","10,700","10,750","10,000","28,171","27,665",1.018290258449304
15,214870,뉴지랩파마,"11,900",750,5.93,"409,509","12,650","12,750","11,800","69,516","31,929",2.1772056750916096
