,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,090710,휴림로봇,"2,690",155,6.11,"79,770,568","2,630","2,870","2,585","1,097,364","732,258",1.4986029514187622
2,900310,컬러레이,"1,400",90,6.87,"42,068,227","1,330","1,530","1,315","505,729","468,742",1.0789069466785566
3,053590,한국테크놀로지,513,53,9.36,"37,399,707",572,576,505,"559,094","543,716",1.0282831478198178
5,187790,나노,"1,490",60,4.20,"23,565,592","1,625","1,755","1,460","235,826","165,675",1.4234253810170514
6,340440,세림B&G,"2,830",570,25.22,"21,614,118","2,270","2,935","2,230","119,444","142,924",0.8357168844980549
7,041460,한국전자인증,"6,070",640,11.79,"21,583,016","5,400","6,700","5,300","133,538","54,945",2.4303940303940306
8,159910,스킨앤스킨,234,5,2.18,"20,776,392",230,248,230,"933,707","1,536,585",0.607650731980333
9,014200,광림,"1,125",5,0.44,"18,021,906","1,140","1,225","1,120","453,730","380,325",1.1930059817261554
10,220180,핸디소프트,"3,975",545,15.89,"14,303,106","3,580","4,410","3,400","26,314","9,389",2.8026413888593034
11,096040,이트론,160,2,1.23,"13,808,589",163,166,158,"2,057,594","1,851,664",1.111213481495563
12,226360,KH 건설,474,7,1.46,"13,592,692",481,505,465,"468,687","92,200",5.083373101952278
13,086960,MDS테크,"2,495",10,0.40,"12,876,281","2,480","2,705","2,435","109,582","40,604",2.6987981479657175
14,291230,엔피,"6,360",510,8.72,"12,742,142","5,910","6,810","5,700","55,224","27,035",2.0426854078046977
15,111870,KH 전자,287,8,2.71,"12,484,548",291,293,275,"434,742","208,842",2.08167897262045
16,207760,미스터블루,"3,520",155,4.22,"12,440,126","3,695","3,710","3,440","157,456","79,942",1.969627980285707
17,033320,제이씨현시스템,"5,750",130,2.31,"12,127,723","5,890","6,590","5,710","39,164","16,600",2.359277108433735
18,347860,알체라,"11,000","1,600",17.02,"11,817,586","9,420","11,900","9,330","155,489","128,314",1.21178515204888
19,019570,리더스 기술투자,535,47,8.08,"11,010,278",597,597,515,"134,701","96,213",1.4000291020963902
20,336060,웨이버스,"1,690",0,0.00,"10,535,573","1,680","1,870","1,665","177,071","51,015",3.470959521709301
21,288980,모아데이타,"2,955",110,3.59,"10,494,203","3,005","3,115","2,930","219,653","84,896",2.5873186015831133
22,019770,서연탑메탈,"4,910",575,13.26,"9,744,247","4,345","5,630","4,345","36,812","14,906",2.4696095532000535
23,263800,데이타솔루션,"7,460",150,1.97,"9,687,194","7,430","8,250","7,220","25,943","67,465",0.38454013192025494
24,227610,아우딘퓨쳐스,"2,715",265,8.89,"8,980,320","2,980","2,995","2,555","82,652","34,918",2.36703133054585
25,264850,이랜시스,"2,750",160,6.18,"8,953,937","2,560","3,100","2,560","67,264","21,377",3.1465593862562566
26,162300,신스틸,"8,750",300,3.55,"8,577,489","8,940","10,050","8,630","30,293","20,337",1.4895510645621282
27,417180,핑거스토리,"11,800",50,0.43,"8,433,685","12,600","12,800","11,550","289,073","446,957",0.6467579655313599
28,086890,이수앱지스,"7,650","1,470",23.79,"7,809,388","6,150","7,940","6,050","36,235","11,812",3.0676430748391468
29,900280,골든센츄리,393,0,0.00,"7,798,836",402,410,389,"235,259","245,536",0.9581446305226118
30,239340,줌인터넷,"4,900",10,0.20,"7,758,235","4,940","5,150","4,810","72,983","58,377",1.250201277900543
31,064800,젬백스링크,"1,380",25,1.85,"7,258,576","1,355","1,475","1,340","162,713","118,583",1.3721444051845544
32,200350,래몽래인,"24,700","2,800",12.79,"7,009,775","24,550","26,350","23,400","34,737","45,798",0.7584829031835452
33,335890,비올,"3,765",165,4.58,"6,428,474","3,600","3,895","3,570","84,543","60,322",1.4015284639103478
34,205470,휴마시스,"18,950","1,450",8.29,"6,257,872","17,500","19,050","17,300","96,624","235,803",0.4097657790613351
35,049480,오픈베이스,"2,930",35,1.18,"5,973,118","3,100","3,180","2,920","140,579","40,188",3.498034239076341
36,236810,엔비티,"6,730",80,1.20,"5,805,884","6,610","7,130","6,530","40,591","31,345",1.2949752751635029
37,900300,오가닉티코스메틱,254,4,1.60,"5,760,447",250,266,246,"425,929","199,049",2.139819843355154
38,066410,버킷스튜디오,"1,675",35,2.13,"5,256,971","1,660","1,735","1,630","248,078","153,872",1.6122361443277529
39,054920,한컴위드,"4,915",110,2.29,"4,911,342","4,850","5,270","4,820","38,599","4,491",8.59474504564685
40,015710,코콤,"7,950",90,1.12,"4,701,595","8,100","8,580","7,770","20,718","67,104",0.30874463519313305
41,128540,에코캡,"4,215",180,4.46,"4,543,006","4,040","4,630","4,000","23,429","10,853",2.158757947111398
42,006910,보성파워텍,"4,150",165,3.82,"4,513,868","4,395","4,530","4,150","77,226","24,233",3.1868113729212233
43,038110,에코플라스틱,"2,955",5,0.17,"4,463,251","2,960","3,170","2,920","53,432","58,903",0.9071184829295622
44,106520,노블엠앤비,"1,720",175,11.33,"4,403,794","1,590","2,000","1,585","25,108","16,719",1.5017644595968658
45,019590,엠벤처투자,940,59,5.91,"4,313,307","1,000","1,000",901,"96,206","85,477",1.1255191455011289
46,082660,코스나인,888,13,1.49,"4,217,960",871,920,821,"47,342","57,011",0.8304011506551368
47,121800,비덴트,"4,340",160,3.56,"4,082,864","4,505","4,635","4,305","62,543","14,179",4.410959870230623
48,388050,지투파워,"8,680",390,4.30,"4,056,966","9,190","9,300","8,670","34,494","12,525",2.754011976047904
49,204610,티쓰리,"1,805",10,0.55,"4,035,186","1,835","1,885","1,800","193,461","173,519",1.1149268956137368
50,060230,소니드,"4,305",185,4.49,"4,007,506","4,220","4,445","4,160","45,703","29,427",1.5530974954973324
51,317850,대모,"13,100",550,4.38,"3,870,443","12,550","14,350","12,550","81,373","81,391",0.9997788453268789
52,053950,경남제약,"2,455",255,9.41,"3,622,212","2,655","2,665","2,420","117,733","96,937",1.2145310872009656
53,073570,어반리튬,"17,300","1,700",10.90,"3,619,458","15,700","18,000","15,700","37,064","59,632",0.6215454789374832
54,277810,레인보우로보틱스,"62,800","6,100",10.76,"3,605,293","57,200","63,500","56,300","31,162","55,750",0.5589596412556054
55,013720,CBI,395,5,1.25,"3,582,252",400,402,395,"643,600","501,661",1.2829380796992391
56,046390,삼화네트웍스,"3,490",70,2.05,"3,565,979","3,460","3,590","3,425","156,709","51,687",3.0318842262077506
57,025980,아난티,"7,310",20,0.27,"3,520,994","7,250","7,650","7,180","135,470","36,248",3.737309644670051
58,121850,코이즈,"2,120",65,3.16,"3,502,653","2,065","2,200","2,035","348,446","95,123",3.663109868275811
59,298870,다올인베스트먼트,"3,575",55,1.56,"3,502,402","3,480","3,620","3,465","87,398","90,511",0.9656063903834893
60,284620,카이노스메드,"5,930",420,7.62,"3,492,419","5,510","6,930","5,130","14,886","11,339",1.3128141811447218
61,089530,에이티세미콘,"1,135",45,3.81,"3,447,169","1,165","1,180","1,120","228,589","133,107",1.7173326722110782
62,046070,코다코,"1,110",35,3.26,"3,411,571","1,075","1,260","1,065","77,419","46,357",1.6700606165196195
63,073640,테라사이언스,"2,255",140,5.85,"3,372,712","2,250","2,340","2,175","372,254","129,178",2.8817136044837355
64,143540,영우디에스피,"1,405",30,2.09,"3,317,911","1,435","1,570","1,395","139,927","36,475",3.836244002741604
65,043910,자연과환경,"1,295",5,0.39,"3,293,804","1,295","1,305","1,255","478,427","874,560",0.5470488016831321
66,377030,맥스트,"14,400","1,450",11.20,"3,259,216","13,150","14,450","12,850","50,549","148,307",0.3408402840054751
67,348340,뉴로메카,"19,600",550,2.89,"3,219,794","19,050","20,500","18,750","30,401","27,486",1.1060539911227534
68,204630,스튜디오산타클로스,"1,185",40,3.27,"3,157,574","1,230","1,230","1,175","462,407","324,538",1.424816200260062
69,053300,한국정보인증,"5,150",200,4.04,"3,152,127","4,950","5,730","4,915","33,592","9,244",3.63392470791865
70,331520,밸로프,"1,580",25,1.61,"3,144,385","1,545","1,625","1,540","300,451","225,423",1.3328320535171656
71,217480,에스디생명공학,"1,555",135,9.51,"3,093,182","1,435","1,635","1,420","113,097","91,606",1.234602536951728
72,041440,현대에버다임,"8,390",140,1.70,"3,092,417","8,360","8,890","8,260","36,124","9,407",3.840119060274264
