,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,090710,휴림로봇,"2,665",130,5.13,"67,982,153","2,630","2,870","2,585","1,336,413","271,349",4.925070665452978
2,053590,한국테크놀로지,522,44,7.77,"23,123,720",572,576,517,"966,919","467,102",2.0700382357600695
3,380540,옵티코어,"3,165",500,18.76,"21,473,084","2,610","3,215","2,610","69,634","157,043",0.44340721967868674
4,187790,나노,"1,600",170,11.89,"16,568,250","1,625","1,755","1,560","97,370","270,738",0.3596465956016518
5,159910,스킨앤스킨,232,3,1.31,"16,412,165",230,248,230,"975,935","1,404,112",0.6950549528812516
6,014200,광림,"1,160",30,2.65,"14,491,886","1,140","1,225","1,130","532,871","623,655",0.8544323383922201
7,900310,컬러레이,"1,405",95,7.25,"13,425,724","1,330","1,440","1,315","387,136","673,380",0.5749146098785233
8,226360,KH 건설,480,1,0.21,"11,697,162",481,505,465,"258,693","173,485",1.4911548548865896
9,033320,제이씨현시스템,"5,990",370,6.58,"10,949,525","5,890","6,590","5,830","59,594","13,844",4.304680728113262
10,096040,이트론,163,1,0.62,"9,813,818",163,166,158,"3,241,904","1,963,988",1.6506740367049086
11,207760,미스터블루,"3,490",185,5.03,"9,499,167","3,695","3,710","3,440","244,384","109,262",2.2366788087349674
12,347860,알체라,"11,450","2,050",21.81,"9,224,441","9,420","11,900","9,330","164,554","131,091",1.2552654263069165
13,111870,KH 전자,280,15,5.08,"8,445,162",291,293,275,"957,658","359,806",2.6615954153071377
14,162300,신스틸,"8,700",250,2.96,"7,864,200","8,940","10,050","8,640","17,918","14,905",1.2021469305602146
15,019770,서연탑메탈,"5,050",715,16.49,"7,775,900","4,345","5,630","4,345","81,387","60,281",1.3501269056584995
16,019570,리더스 기술투자,531,51,8.76,"7,282,989",597,597,515,"234,160","52,848",4.4308204662428095
17,417180,핑거스토리,"11,750",0,0.00,"7,082,100","12,600","12,800","11,550","405,722","285,148",1.4228470829183442
18,064800,젬백스링크,"1,385",30,2.21,"6,353,483","1,355","1,475","1,340","237,740","159,433",1.4911592957543294
19,227610,아우딘퓨쳐스,"2,730",250,8.39,"5,818,971","2,980","2,995","2,655","69,106","13,719",5.037247612799767
20,200350,래몽래인,"24,450","2,550",11.64,"5,678,501","24,550","26,350","23,400","115,534","32,948",3.5065557848731332
21,220180,핸디소프트,"4,135",705,20.55,"5,411,814","3,580","4,340","3,400","16,595","13,484",1.2307178878671017
