,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,090710,휴림로봇,"2,675",140,5.52,"70,308,708","2,630","2,870","2,585","861,689","828,708",1.0397980953484218
1,380540,옵티코어,"3,290",625,23.45,"33,806,398","2,610","3,330","2,610","111,918","225,200",0.4969715808170515
2,900310,컬러레이,"1,495",185,14.12,"26,273,343","1,330","1,510","1,315","463,647","759,083",0.6107988191014685
3,053590,한국테크놀로지,523,43,7.60,"24,555,459",572,576,517,"961,318","424,081",2.2668263845821905
5,187790,나노,"1,635",205,14.34,"19,594,062","1,625","1,755","1,560","179,482","433,584",0.4139497767445293
6,159910,스킨앤스킨,232,3,1.31,"17,202,745",230,248,230,"964,945","1,520,797",0.6344995420164559
7,014200,광림,"1,165",35,3.10,"15,523,502","1,140","1,225","1,130","517,658","483,199",1.0713143032166872
8,226360,KH 건설,476,5,1.04,"12,250,872",481,505,465,"385,074","192,157",2.0039550992157453
9,033320,제이씨현시스템,"5,990",370,6.58,"11,182,503","5,890","6,590","5,830","39,453","96,831",0.4074418316448245
10,041460,한국전자인증,"6,120",690,12.71,"10,518,594","5,400","6,300","5,300","50,347","65,140",0.772904513355849
11,096040,이트론,163,1,0.62,"10,421,733",163,166,158,"2,965,805","1,881,858",1.5759982953017708
12,086960,MDS테크,"2,620",135,5.43,"10,229,421","2,480","2,705","2,435","81,793","79,808",1.0248721932638332
13,207760,미스터블루,"3,510",165,4.49,"10,047,538","3,695","3,710","3,440","213,128","136,819",1.5577368640320424
14,347860,알체라,"11,450","2,050",21.81,"9,882,581","9,420","11,900","9,330","161,356","182,623",0.8835469792961456
15,111870,KH 전자,282,13,4.41,"9,085,351",291,293,275,"892,059","369,737",2.4126852330169823
16,019770,서연탑메탈,"5,070",735,16.96,"8,566,163","4,345","5,630","4,345","56,179","98,985",0.5675506389857049
17,162300,신스틸,"8,720",270,3.20,"8,078,202","8,940","10,050","8,640","27,443","23,307",1.1774574162268847
18,019570,리더스 기술투자,529,53,9.11,"7,800,963",597,597,515,"205,923","126,969",1.6218368263119345
19,417180,핑거스토리,"11,800",50,0.43,"7,549,508","12,600","12,800","11,550","405,986","412,022",0.9853502968288101
20,264850,이랜시스,"2,970",380,14.67,"7,042,474","2,560","3,100","2,560","25,576","88,085",0.2903559062269399
21,227610,아우딘퓨쳐스,"2,690",290,9.73,"6,819,239","2,980","2,995","2,600","102,209","41,121",2.4855669852386857
22,064800,젬백스링크,"1,400",45,3.32,"6,673,570","1,355","1,475","1,340","232,275","112,350",2.067423230974633
23,220180,핸디소프트,"4,000",570,16.62,"6,581,003","3,580","4,340","3,400","16,699","8,420",1.9832541567695963
24,239340,줌인터넷,"4,900",10,0.20,"6,105,273","4,940","5,150","4,840","197,037","7,451",26.44436988323715
25,200350,래몽래인,"24,700","2,800",12.79,"5,913,847","24,550","26,350","23,400","55,885","21,863",2.556145085303938
26,049480,오픈베이스,"2,940",25,0.84,"5,046,856","3,100","3,180","2,925","74,553","17,387",4.287858745039397
27,335890,비올,"3,835",235,6.53,"4,544,836","3,600","3,885","3,570","66,646","91,207",0.7307114585503306
28,054920,한컴위드,"4,875",70,1.46,"4,446,546","4,850","5,270","4,820","36,381","9,175",3.965231607629428
29,236810,엔비티,"6,950",300,4.51,"4,375,475","6,610","7,130","6,530","67,251","73,880",0.9102734163508392
30,015710,코콤,"7,870",170,2.11,"4,293,025","8,100","8,580","7,850","51,831","12,173",4.257865768504066
31,128540,에코캡,"4,240",205,5.08,"4,203,814","4,040","4,630","4,000","62,729","9,222",6.802103665148557
32,900280,골든센츄리,391,2,0.51,"3,968,946",402,403,390,"305,797","385,362",0.7935317960774545
33,006910,보성파워텍,"4,230",85,1.97,"3,850,418","4,395","4,530","4,200","144,353","35,293",4.090131187487604
34,388050,지투파워,"8,900",170,1.87,"3,667,600","9,190","9,300","8,770","46,210","12,386",3.7308251251412887
35,317850,대모,"13,000",450,3.59,"3,652,898","12,550","14,350","12,550","118,035","104,672",1.1276654692754509
36,106520,노블엠앤비,"1,770",225,14.56,"3,524,002","1,590","2,000","1,585","44,919","44,383",1.0120766960322647
37,060230,소니드,"4,275",155,3.76,"3,507,993","4,220","4,445","4,160","29,051","40,727",0.7133105802047781
38,082660,코스나인,895,20,2.29,"3,494,071",871,920,821,"66,782","52,134",1.2809682740629915
39,025980,아난티,"7,330",0,0.00,"3,168,937","7,250","7,650","7,180","96,664","19,588",4.93485807637329
40,121800,비덴트,"4,410",90,2.00,"3,167,407","4,505","4,635","4,395","69,749","19,443",3.587357918016767
41,121850,코이즈,"2,125",70,3.41,"3,165,939","2,065","2,200","2,035","350,171","67,781",5.1662117702601025
42,046070,코다코,"1,135",60,5.58,"3,134,703","1,075","1,260","1,065","158,023","83,195",1.8994290522266963
43,900300,오가닉티코스메틱,258,8,3.20,"3,082,408",250,260,246,"398,468","591,920",0.6731788079470199
44,204610,티쓰리,"1,860",45,2.48,"3,079,634","1,835","1,885","1,815","232,927","511,764",0.4551453404303546
45,073570,어반리튬,"16,800","1,200",7.69,"3,033,808","15,700","18,000","15,700","65,235","39,969",1.6321399084290324
46,143540,영우디에스피,"1,450",15,1.05,"2,867,590","1,435","1,570","1,430","104,754","92,806",1.1287416761847295
47,046390,삼화네트웍스,"3,510",90,2.63,"2,844,094","3,460","3,590","3,425","166,649","52,854",3.1530063949748364
48,073640,테라사이언스,"2,250",145,6.05,"2,843,338","2,250","2,340","2,175","395,451","90,169",4.385664696292517
49,041440,현대에버다임,"8,610",360,4.36,"2,769,072","8,360","8,890","8,260","35,595","17,234",2.0653939886271324
50,277810,레인보우로보틱스,"60,300","3,600",6.35,"2,725,555","57,200","61,400","56,300","51,848","39,398",1.316005888623788
51,217480,에스디생명공학,"1,555",135,9.51,"2,663,483","1,435","1,635","1,420","117,041","63,742",1.8361676759436478
