,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
1,347860,23.26,알체라,"11,500","2,100",22.34,"9,580,299","9,420","11,900","9,330","130,324","179,946",0.7242394940704433
2,220180,20.44,핸디소프트,"4,095",665,19.39,"6,034,630","3,580","4,340","3,400","17,953","6,008",2.9881824234354193
3,380540,19.54,옵티코어,"3,120",455,17.07,"26,089,745","2,610","3,230","2,610","52,158","140,690",0.3707299737010448
4,041460,18.30,한국전자인증,"6,270",840,15.47,"7,393,571","5,400","6,290","5,300","55,309","125,966",0.43907879904101105
5,019770,15.77,서연탑메탈,"5,030",695,16.03,"7,891,431","4,345","5,630","4,345","69,732","47,156",1.4787513784035966
6,264850,15.04,이랜시스,"2,945",355,13.71,"6,229,349","2,560","3,100","2,560","54,491","17,505",3.112882033704656
7,052020,13.62,에스티큐브,"15,850","1,750",12.41,"1,897,315","14,200","16,200","13,950","19,932","63,435",0.3142113974934973
8,106520,11.04,노블엠앤비,"1,760",215,13.92,"3,460,179","1,590","2,000","1,585","43,141","27,833",1.5499946107139007
9,217480,9.86,에스디생명공학,"1,560",140,9.86,"2,594,613","1,435","1,635","1,420","57,137","125,303",0.4559906785950855
10,305090,9.84,마이크로디지탈,"4,355",190,4.56,"136,487","4,165","4,395","3,965","5,113","9,581",0.533660369481265
11,082660,9.62,코스나인,900,25,2.86,"3,380,777",871,920,821,"124,128","127,028",0.9771703876310734
12,900310,8.37,컬러레이,"1,425",115,8.78,"18,057,228","1,330","1,460","1,315","469,541","790,678",0.593846040992667
13,144960,7.63,뉴파워프라즈마,"4,230",340,8.74,"330,098","3,930","4,275","3,930","6,080","17,254",0.35238205633476294
14,086960,7.60,MDS테크,"2,620",135,5.43,"7,456,869","2,480","2,690","2,435","93,960","75,704",1.2411497410969037
15,277810,7.46,레인보우로보틱스,"60,500","3,800",6.70,"2,591,555","57,200","61,400","56,300","45,117","60,152",0.7500498736534114
16,215000,7.43,골프존,"128,700","9,000",7.52,"78,604","120,900","129,400","119,800","2,449","1,158",2.114853195164076
17,229000,7.41,젠큐릭스,"5,800","1,320",18.54,"733,648","5,470","6,400","5,400","16,204","3,138",5.163798597833015
18,099440,7.24,스맥,"2,000",115,6.10,"1,961,312","1,890","2,035","1,865","71,630","105,108",0.6814895155459146
19,335890,7.00,비올,"3,820",220,6.11,"3,723,034","3,600","3,865","3,570","10,772","108,211",0.09954625685004297
20,073570,6.69,어반리튬,"16,750","1,150",7.37,"2,990,921","15,700","18,000","15,700","79,465","32,794",2.4231566750015245
21,046070,6.57,코다코,"1,135",60,5.58,"3,100,325","1,075","1,260","1,065","214,250","58,767",3.645753569179982
22,199820,6.48,제일전기공업,"9,690",30,0.31,"3,708","9,100","9,760","9,100",398,883,0.4507361268403171
23,128540,6.38,에코캡,"4,255",220,5.45,"4,115,549","4,040","4,630","4,000","30,024","4,084",7.351616062683643
24,047560,6.31,이스트소프트,"10,950",600,5.80,"556,185","10,400","11,050","10,300","41,016","98,301",0.41724906155583363
25,134580,6.07,탑코미디어,"5,940",430,7.80,"1,588,309","5,780","6,220","5,600","18,385","5,996",3.0662108072048033
26,108860,5.86,셀바스AI,"8,850",250,2.91,"1,358,471","8,600","8,880","8,360","18,810","82,754",0.22730019092732678
27,122310,5.84,제노레이,"8,520",450,5.58,"160,022","8,090","8,600","8,050","21,672","3,222",6.726256983240224
28,340440,5.83,세림B&G,"2,360",100,4.42,"2,273,906","2,270","2,475","2,230","62,734","50,984",1.2304644594382552
29,200350,5.77,래몽래인,"24,750","2,850",13.01,"5,818,230","24,550","26,350","23,400","38,922","24,048",1.6185129740518962
30,300080,5.76,플리토,"25,700","1,300",5.33,"291,919","24,650","26,750","24,300","5,431","3,660",1.483879781420765
31,236810,5.51,엔비티,"6,890",240,3.61,"4,233,062","6,610","7,130","6,530","74,459","64,385",1.1564650151432787
32,104540,5.47,코렌텍,"10,600",50,0.47,"24,770","10,550","10,700","10,050","10,158","57,086",0.17794205234208038
33,340570,5.08,티앤엘,"39,300","1,800",4.80,"114,229","38,100","39,400","37,400","3,487","25,786",0.13522841852167844
34,348340,5.07,뉴로메카,"19,700",650,3.41,"2,371,797","19,050","20,500","18,750","59,003","85,907",0.6868241237617424
35,078890,5.05,가온미디어,"7,690",340,4.63,"771,882","7,380","7,880","7,320","25,609","12,675",2.0204339250493097
36,389260,4.93,대명에너지,"23,400",950,4.23,"1,920,532","22,500","25,150","22,300","44,614","13,121",3.400198155628382
37,304100,4.92,솔트룩스,"20,250",50,0.25,"952,342","19,650","20,900","19,300","36,234","15,710",2.306429026098027
38,085670,4.90,뉴프렉스,"6,640",220,3.43,"936,763","6,460","6,680","6,330","29,616","74,229",0.39898153012973364
39,131100,4.85,초록뱀이앤엠,"2,700",125,4.85,"27,828","2,575","2,750","2,575","5,278","4,185",1.2611708482676225
40,093640,4.79,다믈멀티미디어,"6,350",350,5.22,"487,008","6,550","6,600","6,060","16,069","9,234",1.7401992635910764
