,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
3,347860,24.63,알체라,"9,310","1,860",24.97,"5,636,980","7,660","9,680","7,470","22,265","20,466",1.0879018860549203
4,089530,17.80,에이티세미콘,"1,165",204,21.23,"13,683,032","1,015","1,220",989,"470,717","397,678",1.183663667590362
5,348340,16.27,뉴로메카,"19,650","2,450",14.24,"4,271,220","17,300","20,000","16,900","70,251","69,084",1.0168924787215563
6,207760,14.47,미스터블루,"3,640",455,14.29,"28,662,651","3,200","3,645","3,180","100,131","145,167",0.6897642026080307
7,417840,14.18,저스템,"9,260","1,120",13.76,"3,924,899","8,160","9,910","8,110","19,037","6,980",2.7273638968481375
8,082660,13.31,코스나인,843,112,15.32,"6,407,132",760,875,744,"42,431","16,542",2.5650465481803892
9,101730,12.75,위메이드맥스,"11,500","1,350",13.30,"1,684,090","10,300","11,750","10,200","62,495","108,268",0.577225034174456
10,296640,12.61,이노룰스,"12,500","1,150",10.13,"3,954,862","11,400","13,500","11,100","108,340","23,025",4.705320304017373
11,226360,11.46,KH 건설,496,39,8.53,"40,975,531",464,524,445,"211,526","251,088",0.8424377110813739
12,357230,11.01,에이치피오,"8,170",840,11.46,"5,352,271","7,360","9,130","7,360","23,079","10,126",2.2791823029824214
13,096040,9.62,이트론,171,15,9.62,"31,869,448",156,177,156,"2,170,136","1,494,722",1.4518659657113497
14,301300,9.24,바이브컴퍼니,"26,000","2,150",9.01,"301,576","23,850","27,250","23,800","5,497","4,624",1.1887975778546713
15,093640,9.05,다믈멀티미디어,"6,510",440,7.25,"586,746","6,030","6,540","5,970","7,959","10,142",0.78475645829225
16,317530,8.87,캐리소프트,"8,960",660,7.95,"1,424,436","8,360","9,310","8,230","18,383","11,383",1.6149521215848195
17,134580,8.70,탑코미디어,"5,120",330,6.89,"450,275","4,820","5,250","4,710","5,669","27,722",0.20449462520741649
18,215600,8.25,신라젠,"7,220",400,5.87,"3,827,984","6,690","7,500","6,670","42,457","54,683",0.7764204597406872
19,041190,7.99,우리기술투자,"4,665",460,10.94,"6,715,518","4,455","4,850","4,320","49,653","22,959",2.162681301450412
20,052020,7.63,에스티큐브,"14,100",400,2.92,"449,662","13,550","14,350","13,100","11,145","54,321",0.20516927155243828
21,010170,7.59,대한광통신,"2,905",250,9.42,"3,763,902","2,750","2,915","2,700","42,270","97,651",0.4328680709874963
22,189330,7.19,씨이랩,"16,400",850,5.47,"306,823","15,750","17,150","15,300","11,279","7,463",1.511322524453973
23,128660,7.11,피제이메탈,"3,315",20,0.61,"68,187","3,275","3,350","3,095","16,297","10,696",1.5236537023186238
24,025870,7.08,신라에스지,"12,100",150,1.26,"256,334","11,550","12,500","11,300","13,080","34,630",0.37770719029743
25,025980,7.08,아난티,"7,260",610,9.17,"8,920,308","6,800","7,500","6,780","65,802","72,160",0.911890243902439
26,214870,6.93,뉴지랩파마,"12,350",650,5.56,"448,891","12,000","12,400","11,550","60,148","89,414",0.6726910774599056
