,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,227610,아우딘퓨쳐스,"3,360",495,12.84,"3,119,832","3,765","3,800","3,305","34,321","32,382",1.0598789450929529
1,054180,메디콕스,"2,275",215,8.63,"2,460,607","2,280","2,340","2,215","155,884","58,069",2.6844615887995316
2,037440,희림,"10,700","1,000",8.55,"1,652,994","11,300","11,400","10,650","237,215","169,178",1.402162219673953
3,069140,누리플랜,"5,580",430,7.15,"175,528","6,050","6,090","5,550","15,783","5,421",2.911455451023796
4,224060,더코디,"8,560",630,6.86,"246,587","9,280","9,280","8,540","17,126","9,065",1.8892443463872035
5,083650,비에이치아이,"7,160",450,5.91,"993,541","7,550","7,660","7,160","86,594","25,185",3.4383164582092514
6,060230,소니드,"4,085",255,5.88,"1,326,605","4,235","4,265","4,020","39,874","39,965",0.9977230076316778
7,151860,KG ETS,"10,850",550,4.82,"539,660","11,000","11,100","10,700","126,069","70,221",1.7953176400222155
8,016670,디모아,499,25,4.77,"507,405",518,522,467,"70,704","9,344",7.566780821917808
9,203450,유니온커뮤니티,"3,505",175,4.76,"245,647","3,590","3,605","3,490","22,036","97,621",0.22573011954395059
10,101670,하이드로리튬,"23,050","1,150",4.75,"1,299,263","24,350","24,350","22,600","88,361","42,992",2.0552893561592853
11,288330,브릿지바이오테라퓨틱스,"11,400",550,4.60,"79,355","11,950","12,100","11,250","23,496","6,863",3.423575695759872
12,206640,바디텍메드,"12,450",600,4.60,"464,707","12,900","12,950","12,300","148,185","85,108",1.7411406683273019
13,019990,에너토크,"11,550",550,4.55,"923,402","12,100","12,250","11,450","86,185","60,058",1.435029471510873
14,204270,제이앤티씨,"5,600",260,4.44,"84,667","5,850","5,850","5,510","22,395","16,739",1.3378935420276001
15,043910,자연과환경,"1,300",60,4.41,"4,159,341","1,360","1,365","1,265","766,765","479,214",1.6000471605587483
16,078350,한양디지텍,"13,150",600,4.36,"80,864","13,850","13,900","13,100","21,986","10,306",2.1333203958858915
17,187420,제노포커스,"6,380",290,4.35,"65,317","6,650","6,690","6,370","10,984","2,004",5.481037924151696
18,091590,남화토건,"9,870",430,4.17,"145,711","10,050","10,100","9,830","32,746","2,651",12.352319879290834
19,151910,SBW생명과학,821,35,4.09,"1,676,370",843,849,820,"195,748","35,389",5.531323292548532
20,222110,팬젠,"7,080",300,4.07,"16,783","7,360","7,370","7,080","3,789",920,4.118478260869566
21,042370,비츠로테크,"7,150",300,4.03,"319,499","7,450","7,500","7,120","17,762","5,772",3.0772695772695773
22,189860,서전기전,"6,530",270,3.97,"301,606","7,000","7,000","6,450","13,256","5,205",2.5467819404418828
23,290720,푸드나무,"10,950",450,3.95,"18,557","11,550","11,550","10,950","12,156","4,885",2.4884339815762537
24,046120,오르비텍,"4,875",185,3.66,"716,860","5,130","5,160","4,660","51,297","11,571",4.433238268084003
25,032190,다우데이타,"40,250","1,500",3.59,"299,930","42,000","42,350","40,200","30,653","3,176",9.651448362720403
26,010470,오리콤,"15,250",550,3.48,"245,590","15,400","15,550","14,950","50,569","16,996",2.975347140503648
27,263800,데이타솔루션,"6,390",230,3.47,"805,320","6,430","6,540","6,320","70,683","17,393",4.063876272063474
28,041590,플래스크,"1,135",40,3.40,"342,330","1,170","1,175","1,130","115,117","100,228",1.1485513030290937
29,017250,인터엠,"1,430",50,3.38,"84,354","1,480","1,480","1,410","12,401","95,469",0.12989556819491144
30,023460,CNH,"2,505",85,3.28,"18,500","2,600","2,600","2,505","6,820","8,331",0.8186292161805305
31,195990,에이비프로바이오,465,15,3.12,"792,167",478,484,457,"201,659","73,750",2.734359322033898
32,388050,지투파워,"9,060",290,3.10,"3,440,944","9,690","9,720","8,960","41,156","41,967",0.9806752924917197
33,083660,CSA 코스믹,999,31,3.01,"24,440","1,030","1,045",992,"4,869","27,300",0.17835164835164835
34,380540,옵티코어,"2,585",80,3.00,"1,024,335","2,610","2,635","2,560","146,767","105,916",1.3856924355149363
