,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
2,347860,25.44,알체라,"9,370","1,920",25.77,"6,245,411","7,660","9,680","7,470","27,316","32,078",0.8515493484631211
3,111870,24.53,KH 전자,330,68,25.95,"33,336,531",267,340,265,"861,466","519,047",1.6597071170818827
4,207760,22.33,미스터블루,"3,890",705,22.14,"49,237,505","3,200","3,895","3,180","534,858","635,515",0.8416134945673981
5,089530,21.84,에이티세미콘,"1,205",244,25.39,"16,445,632","1,015","1,220",989,"390,462","641,977",0.6082180514255183
6,220180,16.67,핸디소프트,"3,500",485,16.09,"801,847","3,010","3,520","3,000","1,321","7,992",0.1652902902902903
7,417840,15.41,저스템,"9,360","1,220",14.99,"4,858,145","8,160","9,910","8,110","17,392","5,548",3.1348233597692863
8,082660,14.25,코스나인,850,119,16.28,"7,048,359",760,875,744,"64,572","32,171",2.0071492959497683
9,348340,13.61,뉴로메카,"19,200","2,000",11.63,"4,896,698","17,300","20,000","16,900","51,830","27,280",1.8999266862170088
10,236810,13.51,엔비티,"6,890",740,12.03,"3,576,373","6,140","6,960","6,070","27,102","57,596",0.4705535106604625
11,101730,11.76,위메이드맥스,"11,400","1,250",12.32,"1,935,070","10,300","11,750","10,200","67,438","120,297",0.5605958585833396
12,296640,11.71,이노룰스,"12,400","1,050",9.25,"4,160,718","11,400","13,500","11,100","133,271","42,345",3.1472665013578935
13,317530,11.42,캐리소프트,"9,170",870,10.48,"1,933,169","8,360","9,380","8,230","6,158","11,095",0.5550247859396125
14,357230,11.41,에이치피오,"8,200",870,11.87,"5,662,200","7,360","9,130","7,360","12,101","38,832",0.31162443345694274
15,226360,11.01,KH 건설,494,37,8.10,"44,833,014",464,524,445,"363,110","390,748",0.9292689917798683
16,134580,9.77,탑코미디어,"5,170",380,7.93,"1,352,421","4,820","5,450","4,710","44,779","20,553",2.1787087043254028
17,217480,9.64,에스디생명공학,"1,365",120,9.64,"719,213","1,250","1,370","1,245","54,291","169,889",0.31956748229726467
18,338220,9.43,뷰노,"7,660",660,9.43,"273,495","7,000","7,690","7,000","6,346","7,142",0.8885466255950714
19,419080,8.48,엔젯,"15,350","1,050",7.34,"700,821","14,350","15,850","14,150","23,552","65,814",0.35785699091378737
20,093640,8.38,다믈멀티미디어,"6,470",400,6.59,"907,752","6,030","6,690","5,970","10,596","22,878",0.46315237345921845
21,215600,8.25,신라젠,"7,220",400,5.87,"4,109,138","6,690","7,500","6,670","28,972","107,110",0.2704882830734759
22,214870,8.23,뉴지랩파마,"12,500",800,6.84,"572,206","12,000","12,550","11,550","24,301","54,133",0.4489128627639333
23,301300,8.19,바이브컴퍼니,"25,750","1,900",7.97,"317,413","23,850","27,250","23,800","4,535","6,325",0.71699604743083
24,300080,7.95,플리토,"24,450","1,200",5.16,"428,079","23,300","25,200","22,650","4,022","4,977",0.8081173397629093
25,347770,7.62,핌스,"12,000",700,6.19,"136,945","11,300","12,150","11,150","8,729","23,401",0.373018247083458
26,010170,7.59,대한광통신,"2,905",250,9.42,"3,941,544","2,750","2,915","2,700","72,870","95,188",0.7655376728159011
27,331520,7.57,밸로프,"1,635",115,7.57,"14,803,952","1,525","1,695","1,520","310,958","385,073",0.8075300008050421
28,096610,7.47,알에프세미,"3,455",145,4.38,"365,169","3,315","3,575","3,215","1,821","6,525",0.2790804597701149
29,052020,7.25,에스티큐브,"14,050",350,2.55,"502,842","13,550","14,350","13,100","24,175","72,468",0.33359551802174753
30,328130,7.21,루닛,"34,950","2,650",8.20,"524,314","32,600","36,800","32,600","9,066","5,467",1.6583135174684471
31,047560,7.21,이스트소프트,"9,960",580,6.18,"289,550","9,440","9,980","9,290","4,312","18,313",0.2354611478184896
32,189330,7.19,씨이랩,"16,400",850,5.47,"315,500","15,750","17,150","15,300","13,294","11,360",1.1702464788732394
