,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,226360,KH 건설,506,49,10.72,"36,780,976",464,524,445,"557,356","656,883",0.8484859556420246
1,053590,한국테크놀로지,577,3,0.52,"33,104,856",564,600,547,"971,100","438,360",2.215302491103203
2,019570,리더스 기술투자,629,39,6.61,"21,710,451",685,743,596,"388,805","88,373",4.399590372625123
4,239340,줌인터넷,"5,120",440,9.40,"20,871,130","4,895","5,340","4,855","167,398","173,745",0.9634694523583412
5,090710,휴림로봇,"2,500",35,1.42,"18,241,916","2,500","2,565","2,420","635,730","1,242,582",0.511620158669609
6,207760,미스터블루,"3,480",295,9.26,"17,740,797","3,200","3,495","3,180","212,141","300,880",0.7050684658335549
8,006910,보성파워텍,"4,545",350,8.34,"13,682,491","4,720","4,850","4,475","120,095","95,504",1.2574865974200033
9,032820,우리기술,"1,560",55,3.65,"12,118,860","1,615","1,660","1,540","1,043,412","370,585",2.8155807709432383
10,089530,에이티세미콘,"1,150",189,19.67,"11,189,741","1,015","1,220",989,"230,175","595,803",0.3863273598823772
11,025980,아난티,"7,350",700,10.53,"8,394,406","6,800","7,500","6,780","161,659","86,982",1.858533949552781
12,121800,비덴트,"4,560",140,3.17,"8,379,838","4,635","4,740","4,440","98,574","36,896",2.6716717259323506
13,089140,넥스턴바이오,"2,160",110,5.37,"6,739,849","2,050","2,320","2,030","110,956","92,347",1.2015116896055096
14,041190,우리기술투자,"4,705",500,11.89,"6,228,186","4,455","4,850","4,320","77,089","43,402",1.7761623888300078
15,044060,조광ILI,"1,310",20,1.55,"6,089,582","1,320","1,360","1,300","545,867","1,066,167",0.5119901478848998
16,900310,컬러레이,"1,345",60,4.67,"5,661,540","1,320","1,370","1,300","345,593","385,250",0.8970616482803374
17,242040,나무기술,"2,660",10,0.38,"5,605,636","2,795","2,870","2,645","64,079","58,824",1.0893342853257173
18,357230,에이치피오,"8,200",870,11.87,"5,099,130","7,360","9,130","7,360","32,303","7,828",4.126596831885539
20,900280,골든센츄리,377,16,4.43,"4,904,033",383,391,373,"456,663","265,197",1.7219764929467527
21,347860,알체라,"9,390","1,940",26.04,"4,839,503","7,660","9,680","7,470","26,834","11,944",2.2466510381781646
22,331520,밸로프,"1,595",75,4.93,"4,589,362","1,525","1,630","1,520","246,300","346,618",0.7105805238043033
23,036090,위지트,758,32,4.41,"4,363,957",763,785,750,"91,468","122,167",0.7487128275229809
