,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
1,111870,28.30,KH 전자,340,78,29.77,"19,283,740",267,340,265,"114,467","114,771",0.9973512472662955
2,296640,20.27,이노룰스,"13,350","2,000",17.62,"1,707,299","11,400","13,400","11,100","11,116","19,751",0.5628069464837223
3,089530,15.77,에이티세미콘,"1,145",184,19.15,"5,893,162","1,015","1,220",989,"3,830","85,565",0.04476129258458482
4,226360,15.73,KH 건설,515,58,12.69,"16,633,566",464,522,445,"166,209","44,079",3.770707139454162
5,357230,14.54,에이치피오,"8,430","1,100",15.01,"811,417","7,360","8,470","7,360","1,172","1,296",0.904320987654321
6,417180,10.22,핑거스토리,"10,250","1,210",13.38,"8,363,665","9,390","10,550","9,300","13,772","85,176",0.16168873861181554
7,304100,9.23,솔트룩스,"21,300","1,850",9.51,"1,888,506","19,750","21,650","19,500","30,192","15,517",1.9457369336856352
8,189330,8.82,씨이랩,"16,650","1,100",7.07,"192,622","15,750","17,150","15,300","9,281","17,269",0.537437025884533
9,301300,8.19,바이브컴퍼니,"25,750","1,900",7.97,"217,523","23,850","27,250","23,800","7,319","4,303",1.700906344410876
10,328130,7.82,루닛,"35,150","2,850",8.82,"224,972","32,600","35,850","32,600","4,037","9,002",0.4484558986891802
11,016670,7.71,디모아,503,21,4.01,"293,533",518,522,467,"25,796","35,597",0.7246678090850353
12,025980,7.67,아난티,"7,300",650,9.77,"4,685,100","6,800","7,470","6,780","67,647","47,370",1.4280557314756175
13,066980,7.63,이엔코퍼레이션,"4,300",15,0.35,"131,287","4,295","4,315","3,995","11,075","7,114",1.5567894292943492
14,025870,7.52,신라에스지,"12,150",200,1.67,"180,899","11,550","12,500","11,300","21,145","14,017",1.5085253620603554
15,101730,7.35,위메이드맥스,"10,950",800,7.88,"292,109","10,300","11,000","10,200","24,099","38,484",0.626208294356096
16,256630,7.34,포인트엔지니어링,"2,340",175,8.08,"1,335,460","2,180","2,500","2,180","72,692","15,132",4.80385937086968
17,255220,7.26,SG,"1,330",85,6.83,"633,677","1,245","1,410","1,240","34,386","41,364",0.8313025819553235
18,300080,7.19,플리토,"24,600","1,350",5.81,"190,795","23,300","25,200","22,950","3,319","5,457",0.6082096389957853
19,367000,7.08,플래티어,"12,100",800,7.08,"44,758","11,400","12,100","11,300","5,083","8,283",0.6136665459374623
20,347860,6.96,알체라,"7,990",540,7.25,"437,822","7,660","7,990","7,470","14,131","19,247",0.7341923416636359
21,192410,6.88,휴림네트웍스,855,7,0.83,"89,171",857,857,800,"16,652","13,896",1.1983304548071387
22,217620,6.88,디딤이앤에프,"1,320",80,6.45,"364,724","1,250","1,335","1,235","28,264","66,044",0.4279571194960935
23,128660,6.79,피제이메탈,"3,305",10,0.30,"25,231","3,275","3,310","3,095","12,125","1,737",6.9804260218767995
24,080420,6.78,모다이노칩,"3,230",20,0.62,"21,498","3,270","3,270","3,025","2,748","5,901",0.46568378240976105
25,093640,6.53,다믈멀티미디어,"6,360",290,4.78,"213,055","6,030","6,420","5,970","17,228","24,995",0.689257851570314
26,041520,6.34,이라이콤,"5,370",330,6.55,"1,070,763","5,050","6,180","5,050","40,758","3,233",12.606866687287349
27,053590,6.03,한국테크놀로지,580,6,1.05,"22,771,591",564,600,547,"158,168","546,379",0.2894840394671098
28,035290,5.86,골드앤에스,"6,500",370,6.04,"50,533","6,150","6,500","6,140","5,481","3,801",1.441988950276243
29,058450,5.84,일야,"1,450",60,4.32,"196,912","1,390","1,455","1,370","52,913","34,882",1.5169141677656097
30,377480,5.68,마인즈랩,"20,450",850,4.34,"366,550","19,350","20,700","19,350","24,035","10,591",2.2693796619771502
31,333050,5.56,모코엠시스,"1,710",80,4.91,"615,571","1,650","1,720","1,620","45,113","89,831",0.5021985728757333
32,179530,5.45,애드바이오텍,"4,450",220,5.20,"69,037","4,230","4,490","4,220","8,140","3,676",2.2143634385201305
33,089850,5.39,유비벨록스,"12,700",650,5.39,"35,032","12,150","12,900","12,050","1,613","2,119",0.761208117036338
