,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,187790,29.41,나노,"1,430",330,30.00,"2,173,070","1,105","1,430","1,105","7,653","3,093",2.4742967992240543
1,041520,16.63,이라이콤,"5,890",850,16.87,"165,246","5,050","5,920","5,050","1,569",211,7.436018957345971
2,089530,12.74,에이티세미콘,"1,115",154,16.02,"1,011,987","1,015","1,115",989,"1,200",703,1.7069701280227596
3,256630,11.24,포인트엔지니어링,"2,425",260,12.01,"743,181","2,180","2,500","2,180",32,228,0.14035087719298245
4,301300,8.82,바이브컴퍼니,"25,900","2,050",8.60,"88,878","23,850","26,250","23,800","1,467",3,489.0
5,016670,8.57,디모아,507,17,3.24,"174,812",518,522,467,"2,102","1,327",1.5840241145440843
6,337930,8.12,브랜드엑스코퍼레이션,"7,190",900,14.31,"1,650,835","6,800","7,400","6,650",363,921,0.3941368078175896
7,296640,8.11,이노룰스,"12,000",650,5.73,"317,017","11,400","12,300","11,100","1,436",730,1.9671232876712328
8,357880,7.02,비트나인,"9,450",550,6.18,"580,792","8,840","9,470","8,830","1,358","1,019",1.3326790971540725
9,128660,6.30,피제이메탈,"3,290",5,0.15,"21,612","3,275","3,290","3,095",12,8,1.5
10,066980,5.38,이엔코퍼레이션,"4,210",75,1.75,"85,463","4,295","4,295","3,995","1,430","1,435",0.9965156794425087
11,328130,5.21,루닛,"34,300","2,000",6.19,"64,415","32,600","34,600","32,600",977,804,1.2151741293532339
12,080420,5.12,모다이노칩,"3,180",70,2.15,"19,778","3,270","3,270","3,025",908,225,4.035555555555556
13,239340,5.05,줌인터넷,"5,100",420,8.97,"5,116,221","4,895","5,120","4,855",182,"48,132",0.0037812681791739382
14,053590,4.75,한국테크놀로지,573,1,0.17,"4,389,309",564,580,547,"41,076","258,016",0.15919942949274463
15,179530,4.62,애드바이오텍,"4,415",185,4.37,"28,539","4,230","4,490","4,220",268,309,0.8673139158576052
16,399720,4.53,가온칩스,"18,450","1,350",7.89,"304,821","17,700","18,800","17,650","3,813","5,904",0.6458333333333334
17,315640,4.49,딥노이드,"6,510",360,5.85,"21,992","6,390","6,620","6,230","2,719",24,113.29166666666667
18,217620,4.45,디딤이앤에프,"1,290",50,4.03,"164,798","1,250","1,315","1,235",365,"1,366",0.26720351390922403
19,025870,4.42,신라에스지,"11,800",150,1.26,"66,425","11,550","11,900","11,300",393,"1,969",0.19959370238699847
20,03481K,4.38,해성산업1우,"14,300",650,4.76,"9,300","13,700","14,700","13,700",103,407,0.25307125307125306
21,300080,4.14,플리토,"23,900",650,2.80,"49,548","23,300","24,450","22,950",983,250,3.932
22,900260,4.04,로스웰,"1,160",10,0.87,"64,930","1,185","1,185","1,115","9,171","4,489",2.0429939852973935
23,026040,3.97,제이에스티나,"3,535",85,2.46,"492,596","3,450","3,645","3,400","3,084",607,5.080724876441516
24,045970,3.89,코아시아,"5,610",230,4.28,"28,747","5,400","5,630","5,400","2,809",381,7.3727034120734904
25,093640,3.69,다믈멀티미디어,"6,190",120,1.98,"71,534","6,030","6,220","5,970","3,374",67,50.35820895522388
26,058970,3.63,엠로,"17,150",650,3.94,"38,145","16,550","17,400","16,550",310,78,3.9743589743589745
27,219550,3.60,디와이디,"1,295",25,1.97,"44,776","1,280","1,300","1,250","6,396",585,10.933333333333334
28,189330,3.59,씨이랩,"15,850",300,1.93,"16,934","15,750","15,850","15,300",225,"3,597",0.06255212677231026
29,044060,3.46,조광ILI,"1,345",55,4.26,"2,974,466","1,320","1,360","1,300","73,141","36,074",2.0275267505682764
30,025980,3.39,아난티,"7,010",360,5.41,"600,903","6,800","7,030","6,780","2,872","1,425",2.015438596491228
31,019570,3.34,리더스 기술투자,680,90,15.25,"8,094,307",685,743,658,"3,770","1,146,060",0.0032895310891227336
32,291810,3.29,핀텔,"8,160",60,0.74,"296,004","8,030","8,180","7,900","3,617",83,43.57831325301205
33,105330,3.25,케이엔더블유,"8,580",210,2.39,"7,039","8,790","8,790","8,310","3,107",358,8.67877094972067
34,372170,3.23,윤성에프앤씨,"43,200","2,000",4.85,"24,267","41,900","43,400","41,850",170,839,0.2026221692491061
35,347860,3.21,알체라,"7,710",260,3.49,"148,032","7,660","7,790","7,470",575,497,1.1569416498993963
36,205500,3.04,액션스퀘어,"3,225",105,3.15,"47,862","3,300","3,300","3,130",58,109,0.5321100917431193
37,190510,2.97,나무가,"15,600",400,2.63,"173,364","15,200","15,800","15,150","1,253","1,778",0.7047244094488189
38,089140,2.96,넥스턴바이오,"2,090",40,1.95,"269,351","2,050","2,100","2,030","10,477","2,147",4.879832324173265
39,900280,2.93,골든센츄리,387,26,7.20,"2,130,439",383,387,376,"41,326","1,745",23.682521489971347
40,050120,2.91,ES큐브,"4,425",135,3.15,"1,933","4,540","4,540","4,300",314,"3,735",0.08406961178045515
41,377030,2.86,맥스트,"12,600",400,3.28,"49,231","12,250","12,650","12,250","1,857",791,2.347661188369153
42,049180,2.86,셀루메드,"5,390",150,2.86,"122,081","5,270","5,390","5,240","1,155",644,1.7934782608695652
43,072770,2.80,율호,"1,655",5,0.30,"57,524","1,660","1,660","1,610","1,285","4,329",0.29683529683529686
44,047920,2.80,HLB제약,"12,850",50,0.39,"40,567","12,900","12,900","12,500","1,683",366,4.598360655737705
45,151860,2.80,KG ETS,"11,000",400,3.51,"232,462","11,000","11,100","10,700","8,717",756,11.53042328042328
46,049950,2.78,미래컴퍼니,"20,350",700,3.56,"9,068","19,850","20,350","19,800","1,651",143,11.545454545454545
47,187220,2.76,디티앤씨,"5,210",255,5.15,"479,289","5,080","5,560","5,070",506,"2,254",0.22448979591836735
48,089890,2.73,코세스,"11,300",350,3.20,"137,487","11,000","11,350","11,000","8,648","1,319",6.556482183472328
49,043710,2.69,서울리거,878,1,0.11,"14,432",879,880,855,"1,925",757,2.542932628797886
