,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,227610,아우딘퓨쳐스,"3,335",520,13.49,"2,766,339","3,765","3,800","3,305","89,207","25,377",3.515269732434882
1,054180,메디콕스,"2,275",215,8.63,"2,308,721","2,280","2,340","2,215","140,524","56,497",2.487282510575783
2,037440,희림,"10,700","1,000",8.55,"1,528,041","11,300","11,400","10,650","219,608","159,176",1.3796552244056892
3,064510,유네코,415,37,8.19,"466,225",435,435,400,"81,049",253,320.3517786561265
4,069140,누리플랜,"5,590",420,6.99,"162,257","6,050","6,090","5,550","14,088","4,505",3.1271920088790233
5,060230,소니드,"4,095",245,5.65,"1,225,070","4,235","4,265","4,020","52,788","24,620",2.144110479285134
6,224060,더코디,"8,680",510,5.55,"215,256","9,280","9,280","8,580","16,280","3,998",4.072036018009005
7,083650,비에이치아이,"7,200",410,5.39,"905,328","7,550","7,660","7,160","79,360","24,136",3.288034471329135
8,288330,브릿지바이오테라퓨틱스,"11,350",600,5.02,"75,914","11,950","12,100","11,250","22,584","10,484",2.15413964135826
9,204270,제이앤티씨,"5,570",290,4.95,"75,317","5,850","5,850","5,510","15,587","16,437",0.9482874003771978
10,151860,KG ETS,"10,850",550,4.82,"492,501","11,000","11,100","10,700","121,014","53,263",2.272008711488275
11,101670,하이드로리튬,"23,050","1,150",4.75,"1,210,307","24,350","24,350","22,600","64,518","33,734",1.9125511353530562
12,010470,오리콤,"15,050",750,4.75,"229,910","15,400","15,550","14,950","28,029","16,061",1.7451590810036735
13,203450,유니온커뮤니티,"3,515",165,4.48,"233,015","3,590","3,605","3,490","20,977","2,737",7.664230909755206
14,043910,자연과환경,"1,300",60,4.41,"4,013,268","1,360","1,365","1,265","793,048","430,768",1.8410095457415592
15,016670,디모아,501,23,4.39,"487,016",518,522,467,"44,235","15,775",2.804120443740095
16,206640,바디텍메드,"12,500",550,4.21,"428,923","12,900","12,950","12,300","134,840","89,306",1.5098649586813875
17,091590,남화토건,"9,870",430,4.17,"134,502","10,050","10,100","9,830","13,103","17,363",0.7546506940044924
18,019990,에너토크,"11,600",500,4.13,"899,300","12,100","12,250","11,450","92,793","54,954",1.6885577028059833
19,151910,SBW생명과학,822,34,3.97,"1,465,908",843,849,820,"118,127","48,068",2.4574977115752685
20,189860,서전기전,"6,530",270,3.97,"294,542","7,000","7,000","6,450","17,874","8,388",2.130901287553648
21,195990,에이비프로바이오,462,18,3.75,"665,459",478,484,457,"178,703","77,999",2.291093475557379
22,017250,인터엠,"1,425",55,3.72,"79,052","1,480","1,480","1,410","12,174","88,325",0.13783187093121993
