,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,226360,KH 건설,510,53,11.60,"34,193,776",464,524,445,"651,661","457,792",1.42348708583811
1,053590,한국테크놀로지,568,6,1.05,"31,217,067",564,600,547,"673,603","175,160",3.8456439826444395
2,019570,리더스 기술투자,630,40,6.78,"21,027,413",685,743,596,"319,578","141,421",2.2597634014750283
4,239340,줌인터넷,"5,180",500,10.68,"19,569,960","4,895","5,340","4,855","180,054","119,345",1.5086849051070426
5,090710,휴림로봇,"2,520",55,2.23,"17,376,448","2,500","2,565","2,420","532,501","1,234,044",0.4315089251274671
6,417180,핑거스토리,"11,350","2,310",25.55,"14,763,310","9,390","11,550","9,300","406,489","861,371",0.47190931665913993
7,006910,보성파워텍,"4,520",325,7.75,"13,130,842","4,720","4,850","4,475","75,715","74,430",1.0172645438667205
8,032820,우리기술,"1,545",40,2.66,"11,287,418","1,615","1,660","1,540","1,048,128","208,723",5.021621958289216
9,089530,에이티세미콘,"1,150",189,19.67,"9,098,815","1,015","1,220",989,"246,631","198,037",1.2453783888869252
10,025980,아난티,"7,340",690,10.38,"7,964,726","6,800","7,500","6,780","141,988","65,340",2.173063973063973
11,121800,비덴트,"4,585",165,3.73,"7,889,379","4,635","4,740","4,440","57,130","14,269",4.003784427780503
12,207760,미스터블루,"3,265",80,2.51,"7,474,208","3,200","3,380","3,180","208,023","189,363",1.0985408976410387
13,089140,넥스턴바이오,"2,145",95,4.63,"6,455,301","2,050","2,320","2,030","79,957","59,691",1.3395151697910908
14,044060,조광ILI,"1,310",20,1.55,"5,942,937","1,320","1,360","1,300","637,884","823,912",0.7742137509831147
15,242040,나무기술,"2,655",5,0.19,"5,517,121","2,795","2,870","2,645","100,349","25,250",3.974217821782178
16,041190,우리기술투자,"4,790",585,13.91,"5,426,699","4,455","4,850","4,320","91,309","30,416",3.0020055234087324
17,900310,컬러레이,"1,340",55,4.28,"4,751,568","1,320","1,370","1,300","413,375","576,827",0.7166360104502737
18,900280,골든센츄리,376,15,4.16,"4,721,640",383,391,373,"490,953","219,198",2.239769523444557
19,357230,에이치피오,"8,380","1,050",14.32,"4,600,842","7,360","9,130","7,360","24,597","38,812",0.6337472946511388
20,036090,위지트,760,34,4.68,"4,174,940",763,785,750,"130,544","111,282",1.1730917848349238
21,222420,쎄노텍,"2,030",65,3.31,"4,024,616","2,040","2,115","2,005","292,025","84,616",3.4511794459676657
22,043910,자연과환경,"1,295",65,4.78,"3,827,194","1,360","1,365","1,265","732,133","343,109",2.133820447729439
23,109610,에스와이,"4,110",5,0.12,"3,795,618","4,200","4,250","4,055","76,321","14,004",5.449942873464725
24,331520,밸로프,"1,585",65,4.28,"3,701,585","1,525","1,630","1,520","179,914","302,192",0.5953632127918674
25,073640,테라사이언스,"2,305",60,2.54,"3,599,748","2,400","2,460","2,250","101,265","51,914",1.950629887891513
26,014200,광림,"1,140",10,0.87,"3,579,222","1,145","1,155","1,120","666,532","378,422",1.7613457991342998
27,108860,셀바스AI,"8,670",160,1.88,"3,376,056","8,570","9,060","8,450","67,305","25,035",2.688436189334931
28,388050,지투파워,"8,980",370,3.96,"3,212,345","9,690","9,720","8,960","67,351","25,139",2.679143959584709
29,296640,이노룰스,"12,800","1,450",12.78,"3,186,731","11,400","13,500","11,100","93,190","44,758",2.082085884087761
30,267320,나인테크,"3,300",115,3.61,"3,167,349","3,345","3,530","3,265","93,544","21,752",4.300478116954762
31,337930,브랜드엑스코퍼레이션,"6,690",400,6.36,"3,059,539","6,800","7,400","6,650","28,811","22,755",1.266139310041749
32,215600,신라젠,"7,060",240,3.52,"3,027,971","6,690","7,500","6,670","45,570","7,264",6.27340308370044
33,010170,대한광통신,"2,860",205,7.72,"3,025,957","2,750","2,875","2,700","65,880","302,561",0.21774121582094189
34,304100,솔트룩스,"20,700","1,250",6.43,"2,915,956","19,750","21,700","19,500","56,768","19,039",2.9816692053154052
