,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,073570,어반리튬,"15,200","2,450",13.88,"1,584,416","17,700","17,700","15,050","82,298","12,227",6.730841580109593
1,032685,소프트센우,"23,350","3,300",12.38,"24,965","25,000","25,600","23,350",508,216,2.3518518518518516
2,356860,티엘비,"17,700","2,100",10.61,"714,924","18,950","19,250","17,250","44,421","24,219",1.8341384863123993
3,263800,데이타솔루션,"6,990",800,10.27,"998,767","7,390","7,400","6,940","48,659","6,718",7.243078297112236
4,336060,웨이버스,"1,830",150,7.58,"3,898,565","1,935","1,950","1,815","411,925","164,947",2.4973173201088836
5,033320,제이씨현시스템,"5,720",440,7.14,"1,228,494","6,020","6,030","5,640","61,431","11,741",5.232177838344263
6,222110,팬젠,"5,900",450,7.09,"34,932","6,330","6,330","5,810","7,454",383,19.4621409921671
7,099750,이지케어텍,"24,550","1,800",6.83,"137,468","25,800","25,900","24,150","9,959","1,658",6.0066344993968634
8,065570,삼영이엔씨,"4,785",335,6.54,"86,248","4,865","4,930","4,745","3,884","2,756",1.409288824383164
9,187790,나노,"1,400",95,6.35,"1,784,962","1,445","1,470","1,375","205,079","90,305",2.270959526050606
10,227610,아우딘퓨쳐스,"2,170",145,6.26,"3,439,139","2,245","2,310","2,140","102,472","49,572",2.0671346727991606
11,058970,엠로,"16,700","1,100",6.18,"153,560","17,800","17,950","16,300","28,624","3,537",8.092733955329376
12,298380,에이비엘바이오,"20,450","1,300",5.98,"663,126","21,500","21,500","20,150","121,249","16,690",7.264769322947873
13,357880,비트나인,"8,600",540,5.91,"521,618","9,030","9,160","8,560","26,604","8,190",3.2483516483516484
14,239340,줌인터넷,"4,680",290,5.84,"1,025,790","4,775","4,815","4,595","23,843","30,865",0.7724931151790053
15,296640,이노룰스,"12,350",750,5.73,"289,277","12,850","12,900","12,250","29,765","15,462",1.925042038546113
16,300080,플리토,"24,800","1,500",5.70,"115,181","25,950","26,300","24,400","13,323","2,413",5.5213427268959805
17,237820,플레이디,"6,000",360,5.66,"433,813","6,220","6,310","5,890","11,597","5,619",2.0638903719523047
18,101670,하이드로리튬,"19,500","1,150",5.57,"1,064,475","20,250","20,300","19,300","112,299","29,399",3.819823803530732
19,108860,셀바스AI,"10,550",600,5.38,"4,647,484","11,150","11,350","10,350","409,789","315,098",1.300512856317717
20,258790,소프트캠프,"1,720",95,5.23,"596,768","1,750","1,770","1,720","87,900","60,179",1.4606424167899101
21,041460,한국전자인증,"5,720",310,5.14,"868,582","5,910","5,930","5,660","97,152","32,415",2.997130957889866
22,380540,옵티코어,"3,175",170,5.08,"10,999,804","3,290","3,530","3,115","72,566","46,806",1.5503567918642909
23,389140,포바이포,"12,200",650,5.06,"275,750","12,500","12,550","12,000","41,506","21,765",1.9070066620721342
24,394280,오픈엣지테크놀로지,"12,350",650,5.00,"1,585,874","12,600","12,650","11,850","102,244","56,425",1.8120336730172795
25,298870,다올인베스트먼트,"3,450",180,4.96,"3,381,573","3,560","3,600","3,405","134,476","29,033",4.631832742052148
26,389500,에스비비테크,"22,250","1,150",4.91,"376,596","22,850","23,150","22,150","30,731","13,393",2.2945568580601807
27,186230,그린플러스,"10,850",550,4.82,"211,790","11,350","11,800","10,750","43,686","10,115",4.318932278793871
28,270520,지엔원에너지,"4,070",205,4.80,"1,885,874","4,310","4,315","4,000","73,591","18,288",4.024004811898513
29,086960,MDS테크,"2,400",120,4.76,"2,711,956","2,485","2,595","2,400","187,174","72,954",2.565644104504208
30,399720,가온칩스,"18,300",900,4.69,"284,372","18,750","18,850","18,200","35,224","14,521",2.4257282556297777
31,315640,딥노이드,"7,170",350,4.65,"164,362","7,370","7,440","7,130","12,036","3,313",3.632961062481135
32,402030,코난테크놀로지,"42,300","2,050",4.62,"435,922","44,500","45,700","41,400","12,359",776,15.926546391752577
33,307870,비투엔,"2,110",100,4.52,"240,138","2,140","2,180","2,085","21,467","18,475",1.1619485791610284
34,372800,아이티아이즈,"9,290",440,4.52,"114,987","9,720","9,720","9,180","8,388","2,681",3.1286833271167476
35,337930,브랜드엑스코퍼레이션,"6,350",300,4.51,"589,032","6,590","6,700","6,150","8,416","5,422",1.552194762080413
36,161570,THE MIDONG,"1,200",55,4.38,"1,030,010","1,255","1,350","1,160","66,832","26,140",2.5566947207345065
37,226330,신테카바이오,"9,850",450,4.37,"185,114","10,100","10,500","9,700","9,222","2,883",3.198751300728408
38,396270,넥스트칩,"7,880",360,4.37,"320,215","8,110","8,170","7,810","40,054","5,571",7.189732543528989
39,377480,마인즈랩,"19,800",900,4.35,"357,348","20,550","20,550","18,800","17,259","7,087",2.435304077889093
40,095700,제넥신,"14,450",650,4.30,"432,852","14,850","14,900","14,200","111,879","69,382",1.6125075668040703
41,090360,로보스타,"25,700","1,150",4.28,"1,144,871","26,050","26,450","25,350","30,734","24,823",1.2381259315956976
42,066980,이엔코퍼레이션,"3,905",170,4.17,"337,927","4,080","4,100","3,850","18,014","8,405",2.1432480666270077
43,064480,브리지텍,"5,080",220,4.15,"456,511","5,240","5,260","5,070","34,998","16,195",2.161037357209015
44,376980,원티드랩,"13,850",600,4.15,"159,497","14,300","14,550","13,650","37,927","11,047",3.4332397936091246
45,289220,자이언트스텝,"19,700",850,4.14,"364,526","20,250","20,250","19,450","29,916","17,443",1.7150719486326893
46,121800,비덴트,"4,415",190,4.13,"2,227,368","4,480","4,480","4,305","94,362","35,701",2.643119240357413
47,288980,모아데이타,"2,795",120,4.12,"1,487,084","2,845","2,880","2,780","136,412","88,369",1.5436635019067773
48,101730,위메이드맥스,"10,750",450,4.02,"271,258","10,950","11,150","10,700","65,052","36,345",1.789847296739579
49,338220,뷰노,"8,020",330,3.95,"78,915","8,300","8,400","8,020","12,146","1,408",8.626420454545455
50,038680,에스넷,"5,370",220,3.94,"277,950","5,530","5,530","5,070","21,306","6,572",3.2419354838709675
51,085670,뉴프렉스,"6,380",260,3.92,"828,597","6,480","6,530","6,360","121,821","38,175",3.191119842829077
52,417180,핑거스토리,"11,200",450,3.86,"8,729,188","12,100","12,800","10,950","247,776","228,674",1.0835337642233047
53,900280,골든센츄리,374,15,3.86,"2,101,214",383,383,373,"420,236","432,676",0.9712486941730071
54,049480,오픈베이스,"2,830",110,3.74,"716,364","2,900","2,910","2,815","107,179","36,885",2.9057611495187747
55,144960,뉴파워프라즈마,"4,345",165,3.66,"91,243","4,555","4,555","4,345","6,666","9,431",0.7068179408334216
56,115440,우리넷,"9,250",350,3.65,"196,680","9,600","9,600","9,150","17,466","2,681",6.51473330846699
57,177350,베셀,"7,690",290,3.63,"283,999","7,930","7,940","7,590","20,547","5,295",3.8804532577903683
58,036030,케이티알파,"7,490",280,3.60,"7,314,140","8,150","8,290","7,400","146,497","20,348",7.199577354039709
59,064800,젬백스링크,"1,345",50,3.58,"341,808","1,365","1,375","1,330","82,835","29,398",2.8177086876658275
60,194480,데브시스터즈,"61,600","2,200",3.45,"92,836","63,300","63,800","61,000","8,010","3,532",2.267836919592299
61,190510,나무가,"15,400",550,3.45,"468,876","15,600","15,700","15,150","165,434","32,125",5.149696498054475
62,288330,브릿지바이오테라퓨틱스,"11,350",400,3.40,"22,564","11,750","11,750","11,250","14,564","10,480",1.3896946564885497
63,187220,디티앤씨,"4,775",165,3.34,"135,282","4,900","4,900","4,700","21,881","3,716",5.88832077502691
64,035290,골드앤에스,"6,970",240,3.33,"183,561","7,210","7,360","6,720","10,639","8,105",1.312646514497224
65,331520,밸로프,"1,765",60,3.29,"4,173,656","1,800","1,810","1,745","269,186","236,744",1.1370340959010576
66,405000,플라즈맵,"6,240",210,3.26,"285,612","6,370","6,400","6,230","25,315","10,242",2.471685217730912
67,171090,선익시스템,"19,350",650,3.25,"213,940","19,700","19,900","19,250","51,254","19,228",2.6655918452257126
68,060240,룽투코리아,"3,055",100,3.17,"540,023","3,120","3,125","3,040","162,817","31,892",5.10526150758811
69,189330,씨이랩,"16,900",550,3.15,"265,012","17,650","18,150","16,500","14,428","5,852",2.4654818865345183
70,200710,에이디테크놀로지,"14,000",450,3.11,"82,106","14,250","14,350","13,900","17,933","9,003",1.9918915916916584
71,290090,트윔,"17,500",550,3.05,"56,503","17,800","18,250","17,350","9,669","3,824",2.5285041841004183
72,058110,멕아이씨에스,"5,720",180,3.05,"192,282","5,800","5,850","5,660","31,326","4,615",6.787865655471289
73,071460,위니아,"2,230",70,3.04,"84,087","2,290","2,290","2,230","31,111","5,635",5.521029281277729
74,069920,아이에스이커머스,"7,050",220,3.03,"416,036","7,320","7,700","6,930","10,627","13,899",0.7645873803870782
75,162300,신스틸,"7,700",240,3.02,"568,506","7,790","7,800","7,450","10,040","13,987",0.7178093944376921
76,216050,인크로스,"14,450",450,3.02,"45,190","14,550","14,700","14,300","17,571","7,747",2.2681037821092036
77,112040,위메이드,"36,900","1,150",3.02,"417,963","37,450","37,900","36,650","25,993","5,751",4.519735698139454
78,096240,크레버스,"17,800",550,3.00,"77,883","18,200","18,200","17,700","9,824","2,479",3.962888261395724
79,066970,엘앤에프,"178,500","5,500",2.99,"283,252","181,800","183,500","178,000","25,164","2,151",11.698744769874477
80,310210,보로노이,"30,800",950,2.99,"44,598","31,700","31,700","30,500","9,583",633,15.139020537124802
81,030350,드래곤플라이,813,25,2.98,"1,019,179",838,839,807,"106,382","13,970",7.615032211882606
82,027830,대성창투,"2,775",85,2.97,"316,478","2,825","2,845","2,750","53,604","6,852",7.823117338003502
83,041190,우리기술투자,"4,475",135,2.93,"1,034,170","4,470","4,500","4,335","26,016","10,975",2.370478359908884
84,054920,한컴위드,"5,340",160,2.91,"3,753,971","5,440","5,740","5,310","89,051","25,367",3.510505775219774
85,093640,다믈멀티미디어,"6,100",180,2.87,"157,116","6,360","6,360","5,980","21,070","5,751",3.6637106590158233
86,290520,신도기연,"6,100",180,2.87,"341,042","6,100","6,210","6,000","13,206","8,607",1.5343325200418265
87,019550,SBI인베스트먼트,"1,205",35,2.82,"500,623","1,215","1,220","1,200","194,965","141,566",1.3772021530593503
88,060230,소니드,"4,325",125,2.81,"8,851,159","5,050","5,200","4,310","74,253","25,684",2.891021647718424
89,056700,신화인터텍,"3,125",90,2.80,"290,774","3,175","3,180","3,100","93,913","65,429",1.4353421265799569
90,192410,휴림네트웍스,797,23,2.80,"331,836",817,824,796,"43,323","52,867",0.8194715039627745
91,419120,산돌,"14,000",400,2.78,"47,747","14,100","14,350","13,900","18,876","12,310",1.5333874898456539
92,900100,애머릿지,"2,320",65,2.73,"95,412","2,385","2,385","2,300","8,030","1,737",4.6229130685089235
93,286750,나노브릭,"1,460",40,2.67,"18,255","1,495","1,495","1,455","21,362","4,714",4.531607976240984
94,032680,소프트센,"1,640",45,2.67,"420,106","1,655","1,665","1,620","89,145","41,491",2.148538237208069
95,310200,애니플러스,"4,260",115,2.63,"301,536","4,320","4,365","4,225","44,878","10,076",4.4539499801508535
96,084990,헬릭스미스,"11,150",300,2.62,"60,554","11,300","11,400","11,050","29,407","10,190",2.8858684985279686
97,066410,버킷스튜디오,"1,675",45,2.62,"1,715,239","1,695","1,700","1,660","379,717","277,972",1.3660260745686617
98,131400,이브이첨단소재,"1,695",45,2.59,"722,229","1,735","1,735","1,665","220,487","61,455",3.587779676185827
