,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,050110,캠시스,"2,265",330,17.05,"21,361,859","2,300","2,445","2,210","577,487","211,005",2.7368403592331934
1,198940,한주라이트메탈,"4,740",625,15.19,"18,467,913","4,115","5,000","4,115","58,673","46,673",1.2571079639191824
2,037950,엘컴텍,"1,370",125,10.04,"8,675,905","1,355","1,410","1,315","487,161","826,116",0.5897004778989875
3,380540,옵티코어,"3,195",150,4.48,"8,105,543","3,290","3,530","3,165","131,181","160,828",0.8156602084214192
4,006910,보성파워텍,"4,290",295,7.38,"7,866,788","4,285","4,455","4,255","127,495","166,704",0.7647986850945389
5,005160,동국산업,"4,490",550,13.96,"7,741,865","4,065","4,625","4,065","20,019","88,374",0.22652590128318284
6,417180,핑거스토리,"11,550",100,0.86,"6,704,874","12,100","12,800","11,500","266,637","213,657",1.247967536752833
7,060230,소니드,"4,500",50,1.12,"6,350,891","5,050","5,200","4,480","65,056","38,232",1.7016112157355094
8,053590,한국테크놀로지,476,5,1.04,"6,087,245",484,493,467,"234,999","667,588",0.3520120193892041
9,031310,아이즈비전,"3,425",425,14.17,"4,727,967","3,040","3,495","3,030","78,250","16,383",4.776292498321431
10,036030,케이티알파,"8,040",270,3.47,"4,419,538","8,150","8,290","7,850","63,612","13,914",4.5717981888745145
11,090710,휴림로봇,"2,730",50,1.87,"4,312,823","2,610","2,735","2,605","611,627","295,197",2.071928237753094
12,207760,미스터블루,"3,630",50,1.40,"3,694,967","3,530","3,685","3,510","180,641","177,876",1.0155445366435045
13,273060,와이즈버즈,"1,505",135,9.85,"3,128,186","1,390","1,575","1,370","68,196","68,682",0.9929239101948109
14,108860,셀바스AI,"10,500",650,5.83,"2,844,310","11,150","11,350","10,450","347,590","250,043",1.3901208992053367
15,100130,동국S&C,"5,190",415,8.69,"2,612,434","4,920","5,240","4,920","105,179","113,724",0.9248619464668847
16,044060,조광ILI,"1,270",35,2.83,"2,483,341","1,300","1,310","1,265","633,825","574,185",1.1038689620940987
17,322780,코퍼스코리아,"3,250",160,5.18,"2,476,560","3,095","3,355","3,095","39,309","39,376",0.9982984559122308
18,336060,웨이버스,"1,845",135,6.82,"2,299,740","1,935","1,950","1,830","268,504","107,639",2.494486199240052
19,331520,밸로프,"1,760",65,3.56,"2,218,067","1,800","1,810","1,760","279,036","133,138",2.0958404061950757
20,376290,씨유테크,"5,440","1,025",23.22,"2,149,735","4,510","5,730","4,505","46,309","29,149",1.5886994408041442
21,270660,에브리봇,"18,850","1,800",10.56,"1,829,221","17,150","18,900","17,000","57,920","95,396",0.6071533397626735
22,227610,아우딘퓨쳐스,"2,205",110,4.75,"1,668,976","2,245","2,310","2,180","78,339","37,160",2.1081539289558666
23,298870,다올인베스트먼트,"3,520",110,3.03,"1,334,609","3,560","3,600","3,515","50,647","66,580",0.7606939020726945
24,297090,씨에스베어링,"9,190",230,2.57,"1,297,066","9,350","9,490","9,120","36,071","16,904",2.1338736393752957
25,115530,씨엔플러스,600,46,8.30,"1,256,913",553,603,546,"36,171","42,202",0.8570920809440311
26,900310,컬러레이,"1,405",5,0.35,"1,249,586","1,395","1,435","1,375","163,011","262,421",0.6211812316849642
27,121800,비덴트,"4,375",230,4.99,"1,247,054","4,480","4,480","4,305","111,503","13,460",8.284026745913819
28,425040,티이엠씨,"28,750",800,2.86,"1,221,290","27,950","29,450","26,200","6,555","61,513",0.10656284037520525
29,106520,노블엠앤비,"1,940",55,2.76,"1,216,108","2,225","2,225","1,910","64,473","49,321",1.307211938119665
30,297570,알로이스,"1,980",55,2.70,"1,174,825","2,010","2,015","1,950","260,420","77,739",3.349927320907138
31,317830,에스피시스템스,"10,050","1,050",11.67,"1,168,458","9,000","10,450","8,870","18,168","8,095",2.2443483631871524
32,086960,MDS테크,"2,450",70,2.78,"1,167,586","2,485","2,595","2,445","40,292","35,285",1.1419016579282981
33,032820,우리기술,"1,485",20,1.37,"1,158,869","1,490","1,510","1,475","182,007","340,646",0.5342995367625042
34,090150,아이윈,"1,535",35,2.33,"1,054,561","1,580","1,585","1,500","141,942","121,243",1.170723258249961
35,389260,대명에너지,"24,400",700,2.95,"1,010,770","24,500","25,650","24,100","26,944","30,513",0.8830334611477075
36,205470,휴마시스,"18,250",400,2.24,"978,252","18,500","18,700","18,200","110,687","183,795",0.602230746211812
37,057680,티사이언티픽,"2,605",30,1.17,"973,502","2,800","2,810","2,575","53,116","16,369",3.2449141670230315
38,013720,CBI,376,8,2.08,"920,408",381,383,373,"294,994","63,283",4.661504669500498
39,187790,나노,"1,410",85,5.69,"898,485","1,445","1,470","1,380","69,390","31,449",2.2064294572164456
40,096040,이트론,159,1,0.63,"870,005",156,159,156,"1,835,084","1,467,172",1.2507626917634742
41,394280,오픈엣지테크놀로지,"12,100",900,6.92,"850,650","12,600","12,650","11,850","118,733","53,542",2.2175675170893876
42,340440,세림B&G,"2,615",15,0.57,"803,658","2,585","2,650","2,570","159,585","51,214",3.116042488382083
43,159910,스킨앤스킨,227,3,1.30,"789,242",230,231,225,"629,263","376,136",1.6729666928983133
44,082660,코스나인,904,44,5.12,"779,634",871,918,871,"19,669","118,406",0.16611489282637704
45,270520,지엔원에너지,"4,150",125,2.92,"769,604","4,310","4,315","4,130","96,044","24,584",3.906768630003254
46,036010,아비코전자,"10,950",50,0.46,"744,817","11,450","11,600","10,950","76,730","133,056",0.576674482924483
47,215100,로보로보,"7,690",40,0.52,"732,864","7,450","7,740","7,300","19,322","15,260",1.2661861074705112
48,388720,유일로보틱스,"29,250","1,550",5.60,"721,710","27,350","29,450","27,050","12,893","20,970",0.6148307105388651
49,033320,제이씨현시스템,"5,740",420,6.82,"678,561","6,020","6,030","5,640","43,696","20,135",2.170151477526695
50,335890,비올,"3,855",105,2.80,"669,414","3,765","3,875","3,765","50,646","57,637",0.8787063865225463
51,014200,광림,"1,025",15,1.44,"669,210","1,020","1,035","1,015","296,288","193,874",1.528250306900358
52,189860,서전기전,"6,920",690,11.08,"666,174","6,300","6,920","6,290","3,677","1,452",2.5323691460055096
53,362320,청담글로벌,"11,500",200,1.71,"665,085","11,600","11,950","11,450","137,093","176,500",0.7767308781869688
54,066410,버킷스튜디오,"1,685",35,2.03,"648,728","1,695","1,700","1,670","260,846","223,123",1.1690681821237614
55,900270,헝셩그룹,410,4,0.97,"621,515",413,413,394,"253,512","35,246",7.192645974011235
56,090360,로보스타,"26,150",700,2.61,"615,825","26,050","26,450","25,600","45,924","19,127",2.401003816594343
57,111870,KH 전자,271,1,0.37,"614,611",270,271,261,"136,720","128,169",1.066716600738088
58,388050,지투파워,"8,740",260,3.07,"612,563","8,720","8,830","8,700","25,593","51,430",0.49762784367100915
59,230980,에이트원,853,34,3.83,"609,272",888,888,812,"10,183","6,443",1.5804749340369393
60,204610,티쓰리,"1,845",5,0.27,"599,139","1,835","1,875","1,815","202,590","214,289",0.9454055037822754
61,018000,유니슨,"1,755",65,3.85,"586,154","1,705","1,785","1,705","46,080","92,387",0.49877147217682144
62,073570,어반리튬,"16,000","1,650",9.35,"574,471","17,700","17,700","15,650","53,219","14,429",3.6883359900200983
63,263800,데이타솔루션,"7,100",690,8.86,"574,069","7,390","7,400","7,000","38,408","13,503",2.8444049470488038
64,288980,모아데이타,"2,835",80,2.74,"558,914","2,845","2,880","2,810","160,989","24,613",6.540811766139845
65,041460,한국전자인증,"5,730",300,4.98,"551,795","5,910","5,930","5,660","67,306","10,047",6.6991141634318705
66,226360,KH 건설,462,8,1.70,"549,795",468,468,455,"188,578","66,228",2.847405931026152
67,015710,코콤,"8,180",200,2.51,"524,614","7,850","8,200","7,750","11,862","30,076",0.39440085117701823
