,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,073570,어반리튬,"15,300","2,350",13.31,"1,463,274","17,700","17,700","15,050","83,032","18,846",4.405815557678022
1,356860,티엘비,"17,600","2,200",11.11,"668,523","18,950","19,250","17,250","42,036","43,715",0.9615921308475351
2,032685,소프트센우,"24,050","2,600",9.76,"23,806","25,000","25,600","23,950","1,226",515,2.3805825242718446
3,263800,데이타솔루션,"7,100",690,8.86,"865,479","7,390","7,400","7,000","43,559","13,015",3.3468305800998848
4,336060,웨이버스,"1,825",155,7.83,"3,732,902","1,935","1,950","1,815","372,754","126,641",2.943391160840486
5,394280,오픈엣지테크놀로지,"12,050",950,7.31,"1,496,882","12,600","12,650","11,850","88,904","60,644",1.465998285073544
6,033320,제이씨현시스템,"5,720",440,7.14,"1,124,802","6,020","6,030","5,640","60,044","12,654",4.745060850324008
7,065570,삼영이엔씨,"4,755",365,7.13,"81,871","4,865","4,930","4,750","3,981","2,657",1.4983063605570193
8,222110,팬젠,"5,900",450,7.09,"33,769","6,330","6,330","5,810","3,380","1,492",2.265415549597855
9,227610,아우딘퓨쳐스,"2,155",160,6.91,"3,199,228","2,245","2,310","2,140","140,675","66,503",2.1153181059501076
10,237820,플레이디,"5,960",400,6.29,"400,747","6,220","6,310","5,890","13,475","6,315",2.133808392715756
11,377480,마인즈랩,"19,400","1,300",6.28,"339,922","20,550","20,550","18,800","12,684","11,633",1.0903464282644202
12,099750,이지케어텍,"24,700","1,650",6.26,"129,205","25,800","25,900","24,150","5,876","1,910",3.0764397905759164
13,357880,비트나인,"8,570",570,6.24,"499,394","9,030","9,160","8,560","9,892","10,446",0.9469653455868275
14,239340,줌인터넷,"4,680",290,5.84,"989,182","4,775","4,815","4,595","17,524","24,955",0.7022240032057704
15,298380,에이비엘바이오,"20,500","1,250",5.75,"629,182","21,500","21,500","20,150","115,764","17,829",6.493016994783779
16,337930,브랜드엑스코퍼레이션,"6,270",380,5.71,"526,814","6,590","6,700","6,150","33,784","8,533",3.959217156920192
17,187790,나노,"1,410",85,5.69,"1,729,276","1,445","1,470","1,375","218,528","63,448",3.4442062791577355
18,058970,엠로,"16,800","1,000",5.62,"144,478","17,800","17,950","16,300","31,183","3,172",9.830706179066835
19,101670,하이드로리튬,"19,500","1,150",5.57,"1,005,351","20,250","20,300","19,300","87,516","43,119",2.0296389062826132
20,300080,플리토,"24,850","1,450",5.51,"104,758","25,950","26,300","24,400","13,131","3,520",3.7303977272727273
