,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,050110,캠시스,"2,280",345,17.83,"39,457,887","2,300","2,445","2,210","427,299","464,406",0.920097931551272
2,090710,휴림로봇,"2,665",15,0.56,"16,943,063","2,610","2,775","2,605","647,247","359,242",1.8017019168137356
3,031310,아이즈비전,"3,265",265,8.83,"16,793,797","3,040","3,575","3,030","92,727","21,780",4.257438016528925
4,257720,실리콘투,"2,835",275,10.74,"15,749,963","2,550","2,940","2,525","117,855","188,189",0.626258708000999
5,276730,제주맥주,"1,565",185,13.41,"14,148,589","1,380","1,755","1,355","130,276","207,311",0.6284085263203593
6,053590,한국테크놀로지,473,8,1.66,"13,305,356",484,493,467,"1,097,143","289,248",3.7930875926540546
7,037950,엘컴텍,"1,270",25,2.01,"13,198,402","1,355","1,410","1,265","309,906","275,869",1.1233810250517455
8,005160,동국산업,"4,195",255,6.47,"12,191,093","4,065","4,625","4,065","80,110","12,243",6.543330882953525
9,094480,갤럭시아머니트리,"5,580",805,16.86,"11,921,346","4,700","6,200","4,620","52,395","39,564",1.3243099787685775
10,380540,옵티코어,"3,170",175,5.23,"10,894,553","3,290","3,530","3,115","44,598","65,138",0.6846694709693266
11,006910,보성파워텍,"4,200",205,5.13,"10,557,556","4,285","4,455","4,195","93,809","37,360",2.5109475374732333
12,060230,소니드,"4,325",125,2.81,"8,762,798","5,050","5,200","4,310","79,127","25,503",3.102654589656119
13,417180,핑거스토리,"11,150",500,4.29,"8,645,952","12,100","12,800","10,950","246,709","234,046",1.0541047486391564
14,214270,FSN,"3,905",120,3.17,"8,192,610","3,725","4,230","3,670","36,644","13,561",2.7021606076248066
15,900270,헝셩그룹,434,20,4.83,"7,526,901",413,444,394,"165,016","122,953",1.342106333314356
16,015710,코콤,"7,850",130,1.63,"7,283,191","7,850","8,740","7,750","52,794","10,490",5.032793136320305
17,036030,케이티알파,"7,480",290,3.73,"7,276,111","8,150","8,290","7,400","75,254","23,181",3.246365558000086
18,204610,티쓰리,"1,850",10,0.54,"7,073,540","1,835","1,940","1,815","358,950","153,448",2.3392289244564934
19,082660,코스나인,857,3,0.35,"6,827,746",871,968,826,"55,717","14,209",3.9212470969104087
20,207760,미스터블루,"3,515",65,1.82,"6,467,583","3,530","3,685","3,505","260,204","75,003",3.4692478967507965
21,273060,와이즈버즈,"1,415",45,3.28,"6,354,823","1,390","1,575","1,370","200,142","64,314",3.1119507416736636
22,900310,컬러레이,"1,465",55,3.90,"5,405,272","1,395","1,470","1,375","309,915","478,025",0.648323832435542
23,189860,서전기전,"6,550",320,5.14,"5,197,625","6,300","7,500","6,290","39,406","19,248",2.0472776392352454
24,100130,동국S&C,"5,160",385,8.06,"5,197,316","4,920","5,240","4,920","39,560","169,103",0.23394026126088832
25,270660,에브리봇,"17,700",650,3.81,"5,117,649","17,150","19,600","17,000","88,818","85,759",1.0356697256264649
26,108860,셀바스AI,"10,550",600,5.38,"4,567,466","11,150","11,350","10,350","601,730","253,083",2.3775994436607752
27,425040,티이엠씨,"28,900",950,3.40,"4,359,649","27,950","32,900","26,200","12,840","8,428",1.5234931181775035
28,419530,SAMG엔터,"48,450","8,950",22.66,"4,241,273","38,900","49,300","38,700","9,509","9,208",1.0326889661164205
29,322780,코퍼스코리아,"3,120",30,0.97,"4,223,230","3,095","3,355","3,060","106,632","17,373",6.137800034536349
30,331520,밸로프,"1,760",65,3.56,"4,068,139","1,800","1,810","1,745","274,542","211,971",1.2951866057149326
31,376290,씨유테크,"4,945",530,12.00,"3,999,176","4,510","5,730","4,505","19,464","9,380",2.0750533049040514
32,037030,파워넷,"3,725",225,6.43,"3,940,446","3,500","3,735","3,455","41,160","25,261",1.6293891769922013
33,336060,웨이버스,"1,830",150,7.58,"3,783,893","1,935","1,950","1,815","415,161","138,039",3.0075630799991306
34,054920,한컴위드,"5,370",130,2.36,"3,615,260","5,440","5,740","5,310","107,747","13,230",8.144142101284958
35,115530,씨엔플러스,555,1,0.18,"3,499,938",553,603,546,"129,493","45,177",2.8663479204019744
36,335890,비올,"3,995",245,6.53,"3,409,642","3,765","4,025","3,765","46,452","56,608",0.8205907292255512
37,044060,조광ILI,"1,265",30,2.43,"3,366,611","1,300","1,310","1,260","584,512","642,579",0.9096344573974562
38,227610,아우딘퓨쳐스,"2,160",155,6.70,"3,318,783","2,245","2,310","2,140","134,965","60,044",2.2477683032442877
39,298870,다올인베스트먼트,"3,420",210,5.79,"3,245,007","3,560","3,600","3,405","160,092","23,931",6.689732982324182
40,054180,메디콕스,"2,120",55,2.66,"2,955,331","2,065","2,300","2,060","128,168","42,473",3.017634732653686
41,056080,유진로봇,"5,130",175,3.53,"2,869,081","4,885","5,630","4,860","48,676","17,083",2.8493824269741848
42,024840,KBI메탈,"1,340",5,0.37,"2,815,562","1,325","1,505","1,325","159,780","69,071",2.3132718507043477
43,014200,광림,"1,045",5,0.48,"2,616,969","1,020","1,065","1,015","682,246","501,806",1.3595811927318526
44,159910,스킨앤스킨,230,0,0.00,"2,591,490",230,231,224,"1,167,751","591,021",1.97581981012519
45,096040,이트론,158,0,0.00,"2,487,188",156,160,156,"2,235,763","2,188,766",1.0214719161390482
46,086960,MDS테크,"2,460",60,2.38,"2,402,055","2,485","2,595","2,435","130,886","128,629",1.0175465874724985
47,388720,유일로보틱스,"27,900",200,0.72,"2,244,856","27,350","30,000","27,050","33,054","16,922",1.9533152109679708
