,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,050110,캠시스,"2,210",275,14.21,"41,845,372","2,300","2,445","2,200","375,290","372,786",1.0067169904449202
1,257720,실리콘투,"2,980",420,16.41,"36,669,570","2,550","3,140","2,525","277,164","140,761",1.969039719808754
3,090710,휴림로봇,"2,645",35,1.31,"17,970,772","2,610","2,775","2,605","822,435","370,928",2.217236229133417
4,031310,아이즈비전,"3,245",245,8.17,"17,570,058","3,040","3,575","3,030","76,721","18,917",4.055664217370619
5,094480,갤럭시아머니트리,"5,980","1,205",25.24,"15,293,254","4,700","6,200","4,620","56,864","83,208",0.6833958273242957
6,053590,한국테크놀로지,473,8,1.66,"15,124,383",484,493,467,"1,093,492","529,125",2.0666042995511456
7,276730,제주맥주,"1,520",140,10.14,"14,863,643","1,380","1,755","1,355","176,230","111,239",1.5842465322413901
8,037950,엘컴텍,"1,255",10,0.80,"13,583,036","1,355","1,410","1,250","343,637","163,471",2.1021282062261806
9,900270,헝셩그룹,424,10,2.42,"13,143,142",413,447,394,"348,509","248,489",1.4025127872863588
10,005160,동국산업,"4,185",245,6.22,"12,530,480","4,065","4,625","4,065","36,545","22,265",1.6413653716595553
11,380540,옵티코어,"3,200",145,4.33,"11,320,997","3,290","3,530","3,115","89,700","74,754",1.1999357893891966
12,006910,보성파워텍,"4,210",215,5.38,"10,938,987","4,285","4,455","4,160","82,645","40,047",2.0637001523210228
13,060230,소니드,"4,315",135,3.03,"9,013,558","5,050","5,200","4,305","82,460","33,586",2.4551896623593166
14,417180,핑거스토리,"11,100",550,4.72,"8,917,123","12,100","12,800","10,950","223,272","222,002",1.0057206691831606
15,214270,FSN,"3,905",120,3.17,"8,717,114","3,725","4,230","3,670","57,543","13,196",4.360639587753865
16,900310,컬러레이,"1,460",50,3.55,"7,865,552","1,395","1,485","1,375","257,799","563,334",0.4576308193718114
17,082660,코스나인,913,53,6.16,"7,606,901",871,968,826,"23,097","78,083",0.2958006224146101
18,015710,코콤,"7,810",170,2.13,"7,501,713","7,850","8,740","7,750","59,138","22,905",2.581881685221567
19,036030,케이티알파,"7,510",260,3.35,"7,392,430","8,150","8,290","7,400","69,574","26,630",2.612617348854675
20,204610,티쓰리,"1,860",20,1.09,"7,367,828","1,835","1,940","1,815","374,915","176,665",2.1221803979282825
21,207760,미스터블루,"3,555",25,0.70,"7,281,259","3,530","3,685","3,505","105,660","169,373",0.6238302444899718
22,273060,와이즈버즈,"1,420",50,3.65,"6,640,282","1,390","1,575","1,370","165,918","60,345",2.749490430027343
23,159910,스킨앤스킨,231,1,0.43,"6,616,431",230,239,224,"903,321","795,169",1.1360113384701869
24,100130,동국S&C,"5,100",325,6.81,"6,142,360","4,920","5,240","4,920","101,060","73,898",1.3675606917643237
25,331520,밸로프,"1,760",65,3.56,"5,885,358","1,800","1,820","1,745","317,742","331,673",0.957997786976932
26,148780,비플라이소프트,"1,145",35,3.15,"5,545,288","1,090","1,215","1,085","299,078","188,269",1.588567422145972
27,108860,셀바스AI,"10,900",250,2.24,"5,320,755","11,150","11,350","10,350","344,572","328,012",1.050485957830811
28,270660,에브리봇,"17,500",450,2.64,"5,285,348","17,150","19,600","17,000","75,515","45,332",1.6658210535603988
29,189860,서전기전,"6,510",280,4.49,"5,266,900","6,300","7,500","6,290","30,807","12,488",2.466928251121076
30,362320,청담글로벌,"12,750","1,050",8.97,"4,934,978","11,600","12,950","11,200","139,985","310,038",0.4515091698436966
31,037030,파워넷,"3,550",50,1.43,"4,870,343","3,500","3,735","3,455","61,700","19,630",3.143148242485991
32,419530,SAMG엔터,"47,900","8,400",21.27,"4,848,943","38,900","49,300","38,700","5,891","8,162",0.7217593727027689
33,425040,티이엠씨,"29,500","1,550",5.55,"4,686,887","27,950","32,900","26,200","12,731","7,528",1.69115302869288
34,322780,코퍼스코리아,"3,190",100,3.24,"4,514,335","3,095","3,355","3,060","60,071","32,046",1.8745241215752355
35,376290,씨유테크,"4,820",405,9.17,"4,245,762","4,510","5,730","4,505","4,958","6,176",0.8027849740932642
36,227610,아우딘퓨쳐스,"2,115",200,8.64,"4,143,520","2,245","2,310","2,105","153,904","43,353",3.550019606486287
37,252500,세화피앤씨,"1,405",25,1.81,"4,130,303","1,380","1,500","1,365","126,959","280,933",0.45191914086276797
