,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,198940,29.77,한주라이트메탈,"5,340","1,225",29.77,"28,037,452","4,115","5,340","4,115","82,914","98,074",0.8454228439749577
1,276730,19.56,제주맥주,"1,620",240,17.39,"9,000,607","1,380","1,755","1,355","198,394","132,436",1.4980367875804161
2,128660,15.93,피제이메탈,"3,675",450,13.95,"1,259,179","3,190","3,800","3,170","11,083","7,399",1.4979051223138262
3,024830,15.77,세원물산,"10,500","1,400",15.38,"322,161","9,070","10,800","9,070","2,915","11,923",0.2444854482932148
4,425040,15.65,티이엠씨,"30,300","2,350",8.41,"2,482,051","27,950","30,800","26,200","14,170","24,524",0.5778013374653401
5,376290,14.10,씨유테크,"5,140",725,16.42,"2,976,766","4,510","5,730","4,505","26,411","10,298",2.564672751990678
6,419530,13.70,SAMG엔터,"44,000","4,500",11.39,"1,932,695","38,900","46,300","38,700","13,523","10,862",1.2449825078254466
7,031310,12.05,아이즈비전,"3,395",395,13.17,"11,747,035","3,040","3,530","3,030","24,553","67,107",0.3658783733440625
8,368970,11.54,오에스피,"6,570",650,10.98,"869,616","5,940","6,610","5,890","13,034","27,283",0.47773338709086244
9,317830,11.16,에스피시스템스,"9,860",860,9.56,"1,734,852","9,000","10,450","8,870","9,056","35,709",0.2536055336189756
10,376300,11.11,디어유,"41,500","2,900",7.51,"562,999","37,950","42,000","37,350","2,853","14,446",0.19749411601827496
11,096610,11.03,알에프세미,"3,120",265,9.28,"562,880","2,860","3,200","2,810","22,653","10,281",2.2033848847388384
12,082660,8.84,코스나인,948,88,10.23,"2,063,783",871,949,871,"49,972","21,400",2.3351401869158877
13,098460,8.60,고영,"15,150","1,150",8.21,"436,434","14,150","15,150","13,950","29,140","56,598",0.5148591823032616
14,270660,8.53,에브리봇,"18,450","1,400",8.21,"4,323,205","17,150","19,600","17,000","122,804","49,456",2.4830960854092528
15,195940,8.18,HK이노엔,"41,000","3,150",8.32,"475,915","37,900","41,150","37,900","7,140","33,712",0.21179401993355482
16,336570,7.45,원텍,"4,690",285,6.47,"964,621","4,400","4,700","4,365","23,806","88,954",0.2676214672752209
17,039840,7.42,디오,"22,450","1,150",5.40,"162,403","21,000","22,700","20,900","2,977","13,864",0.21472879399884592
18,082920,7.28,비츠로셀,"16,950","1,050",6.60,"324,056","15,950","17,350","15,800","15,405","116,854",0.13183117394355348
19,005160,7.26,동국산업,"4,360",420,10.66,"10,181,068","4,065","4,625","4,065","58,258","21,806",2.671650004585894
20,056080,7.20,유진로봇,"5,210",255,5.15,"2,422,443","4,885","5,630","4,860","38,053","57,644",0.6601380889598224
21,047920,7.08,HLB제약,"12,100",150,1.26,"60,950","11,950","12,150","11,300","11,690","13,326",0.8772324778628245
22,347700,7.07,라이프시맨틱스,"4,925",55,1.10,"30,588","4,980","4,980","4,600","4,316","2,065",2.0900726392251814
23,189860,7.00,서전기전,"6,730",500,8.03,"4,518,617","6,300","7,500","6,290","27,875","39,665",0.7027606201941258
24,053270,6.47,구영테크,"2,470",0,0.00,"36,871","2,465","2,475","2,320","27,168","7,904",3.437246963562753
25,335890,6.24,비올,"4,000",250,6.67,"2,134,780","3,765","4,000","3,765","44,457","22,049",2.016281917547281
26,273060,6.20,와이즈버즈,"1,455",85,6.20,"5,542,946","1,390","1,575","1,370","166,834","57,813",2.8857523394392266
27,015710,6.19,코콤,"8,230",250,3.13,"2,202,391","7,850","8,460","7,750","30,279","37,598",0.8053353901803287
28,304100,5.91,솔트룩스,"20,600",100,0.49,"856,999","20,900","21,050","19,450","18,680","17,708",1.0548904449966117
29,119500,5.85,포메탈,"3,620",145,4.17,"226,324","3,485","3,765","3,420","4,368","5,820",0.7505154639175258
30,265740,5.84,엔에프씨,"9,430",470,5.25,"42,389","8,960","9,590","8,910","1,210","2,386",0.5071248952221291
31,106520,5.76,노블엠앤비,"2,020",25,1.25,"1,593,487","2,225","2,225","1,910","92,736","58,614",1.5821476097860578
32,038680,5.72,에스넷,"5,360",230,4.11,"238,531","5,530","5,530","5,070","9,492","11,968",0.7931149732620321
33,154040,5.67,솔루에타,"2,795",0,0.00,"5,278","2,765","2,795","2,645","8,649","6,779",1.275851895559817
34,050110,5.66,캠시스,"2,335",400,20.67,"31,273,840","2,300","2,445","2,210","506,880","368,523",1.3754365399174542
35,301300,5.56,바이브컴퍼니,"26,600",400,1.53,"37,646","26,000","26,800","25,200",981,"1,149",0.8537859007832899
36,230980,5.54,에이트원,857,30,3.38,"924,429",888,888,812,"108,779","11,246",9.672683620842966
37,397500,5.40,대신밸런스제11호스팩,"2,245",75,3.46,"320,579","2,155","2,260","2,130","14,968","40,600",0.36866995073891623
38,159010,5.31,아스플로,"11,900",400,3.48,"289,096","11,450","12,250","11,300","33,179","73,446",0.45174686163984423
39,039420,5.30,케이엘넷,"2,780",65,2.39,"359,943","2,710","2,875","2,640","12,600","22,961",0.5487565872566526
40,224110,5.29,에이텍티앤,"10,950",300,2.82,"183,914","10,400","11,300","10,400","18,105","15,181",1.1926091825307952
41,352910,5.24,오비고,"11,050",200,1.78,"49,125","11,150","11,250","10,500","12,226","8,840",1.3830316742081448
42,246960,5.03,이노테라피,"9,190",360,4.08,"5,903","8,820","9,190","8,750","1,316","4,537",0.29005951068988317
43,035760,5.01,CJ ENM,"108,900","3,900",3.71,"79,401","105,000","109,100","103,700","1,856","6,252",0.29686500319897635
44,042520,5.00,한스바이오메드,"11,550",400,3.59,"18,770","11,000","11,600","11,000","9,666","5,891",1.6408080122220337
45,388720,4.99,유일로보틱스,"28,400",700,2.53,"1,905,323","27,350","30,000","27,050","37,502","16,679",2.2484561424545837
46,182360,4.98,큐브엔터,"21,100",950,4.71,"528,037","20,100","21,250","20,100","22,225","57,305",0.38783701247709623
47,204610,4.96,티쓰리,"1,905",65,3.53,"3,847,016","1,835","1,940","1,815","151,462","365,606",0.41427657095343073
48,377480,4.79,마인즈랩,"19,700","1,000",4.83,"297,702","20,550","20,550","18,800","13,540","14,796",0.9151121924844553
49,037030,4.78,파워넷,"3,620",120,3.43,"1,906,395","3,500","3,675","3,455","26,807","28,010",0.9570510531952874
50,284620,4.73,카이노스메드,"5,760",160,2.86,"155,584","5,600","5,790","5,500","9,723","17,649",0.5509093999660037
51,394280,4.64,오픈엣지테크놀로지,"12,400",600,4.62,"1,210,503","12,600","12,650","11,850","123,575","90,720",1.3621582892416226
52,148780,4.61,비플라이소프트,"1,135",25,2.25,"684,031","1,090","1,160","1,085","86,203","293,306",0.2939012498891942
53,063440,4.54,SM Life Design,"2,535",75,3.05,"586,250","2,425","2,550","2,425","45,386","57,695",0.786653956148713
54,002230,4.43,피에스텍,"3,890",165,4.43,"78,802","3,725","4,250","3,725","3,289","1,443",2.279279279279279
55,234920,4.31,자이글,"4,840",35,0.73,"19,612","4,805","4,860","4,640","1,127",899,1.253615127919911
56,059120,4.25,아진엑스텍,"9,330",110,1.19,"168,861","9,080","9,450","8,950","12,499","13,594",0.9194497572458438
