,종목코드,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,073570,어반리튬,"15,800","1,850",10.48,"512,116","17,700","17,700","15,650","25,182","11,825",2.129556025369979
1,263800,데이타솔루션,"7,170",620,7.96,"467,567","7,390","7,400","7,100","48,318","6,350",7.609133858267716
2,394280,오픈엣지테크놀로지,"12,050",950,7.31,"774,963","12,600","12,650","11,850","61,760","37,098",1.6647797724944742
3,336060,웨이버스,"1,850",130,6.57,"2,202,049","1,935","1,950","1,830","206,432","144,582",1.4277849248177505
4,356860,티엘비,"18,550","1,250",6.31,"162,846","18,950","19,250","18,350","20,344","9,376",2.169795221843003
5,032685,소프트센우,"25,000","1,650",6.19,"8,707","25,000","25,000","25,000",667,57,11.701754385964913
6,033320,제이씨현시스템,"5,800",360,5.84,"520,410","6,020","6,030","5,750","39,580","11,987",3.3019104029365147
7,187790,나노,"1,410",85,5.69,"864,289","1,445","1,470","1,380","116,232","28,774",4.03948008618892
8,239340,줌인터넷,"4,695",275,5.53,"421,085","4,775","4,815","4,650","58,450","5,664",10.319562146892656
9,041190,우리기술투자,"4,355",255,5.53,"464,557","4,470","4,490","4,335","39,269","15,120",2.597156084656085
10,065570,삼영이엔씨,"4,855",265,5.18,"38,492","4,865","4,930","4,795","3,438","5,698",0.6033696033696033
11,377480,마인즈랩,"19,650","1,050",5.07,"117,726","20,550","20,550","19,200","4,612","9,028",0.5108551174124945
12,357880,비트나인,"8,680",460,5.03,"249,357","9,030","9,160","8,640","9,414","1,292",7.286377708978328
13,289220,자이언트스텝,"19,550","1,000",4.87,"182,105","20,250","20,250","19,450","22,482","8,539",2.6328609907483314
14,041460,한국전자인증,"5,740",290,4.81,"456,048","5,910","5,930","5,730","35,896","5,137",6.987736032703912
15,227610,아우딘퓨쳐스,"2,205",110,4.75,"1,519,938","2,245","2,310","2,200","45,943","58,129",0.79036281374185
16,099750,이지케어텍,"25,100","1,250",4.74,"63,654","25,800","25,900","24,350","5,476","1,756",3.1184510250569475
17,298380,에이비엘바이오,"20,750","1,000",4.60,"201,934","21,500","21,500","20,550","34,910","5,390",6.476808905380334
18,372800,아이티아이즈,"9,290",440,4.52,"55,843","9,720","9,720","9,180","2,313","1,674",1.381720430107527
19,108860,셀바스AI,"10,650",500,4.48,"2,655,372","11,150","11,350","10,450","300,598","165,424",1.8171365702679176
20,300080,플리토,"25,150","1,150",4.37,"52,607","25,950","26,300","24,450","1,890","1,118",1.6905187835420394
21,121800,비덴트,"4,405",200,4.34,"1,124,191","4,480","4,480","4,305","43,932","20,691",2.1232419892706975
22,189330,씨이랩,"16,700",750,4.30,"159,604","17,650","18,150","16,650","13,440","11,997",1.1202800700175044
23,095700,제넥신,"14,450",650,4.30,"147,178","14,850","14,900","14,200","41,120","58,006",0.7088921835672172
24,038680,에스넷,"5,350",240,4.29,"194,873","5,530","5,530","5,070","25,281","9,372",2.6975032010243276
25,087260,모바일어플라이언스,"2,910",130,4.28,"305,900","3,025","3,055","2,900","11,652","7,111",1.6385881029391085
26,226330,신테카바이오,"9,870",430,4.17,"103,446","10,100","10,500","9,750","6,704","10,024",0.6687948922585794
27,052020,에스티큐브,"13,950",600,4.12,"184,764","14,300","14,350","13,850","36,579","10,318",3.545163791432448
28,190510,나무가,"15,300",650,4.08,"186,630","15,600","15,700","15,300","67,188","13,301",5.051349522592286
29,187220,디티앤씨,"4,740",200,4.05,"53,629","4,900","4,900","4,700","5,776","2,678",2.1568334578043316
30,380540,옵티코어,"3,210",135,4.04,"7,333,971","3,290","3,530","3,190","60,168","156,366",0.38478953225125667
31,085670,뉴프렉스,"6,380",260,3.92,"365,927","6,480","6,530","6,360","68,592","9,784",7.0106295993458705
32,162300,신스틸,"7,650",290,3.65,"147,219","7,790","7,790","7,590","4,710","5,679",0.8293713681986266
33,258790,소프트캠프,"1,750",65,3.58,"296,818","1,750","1,770","1,735","119,194","42,576",2.7995584366779407
34,299900,위지윅스튜디오,"17,800",650,3.52,"53,446","18,150","18,150","17,650","9,635","4,527",2.1283410647227745
35,389140,포바이포,"12,400",450,3.50,"112,600","12,500","12,550","12,150","26,652","18,043",1.4771379482347724
36,297570,알로이스,"1,965",70,3.44,"1,031,831","2,010","2,015","1,955","152,996","158,286",0.966579482708515
37,220180,핸디소프트,"3,790",135,3.44,"202,091","3,870","3,935","3,785","18,518","10,157",1.8231761346854387
38,399720,가온칩스,"18,550",650,3.39,"137,993","18,750","18,850","18,400","21,530","19,584",1.0993668300653594
39,101670,하이드로리튬,"19,950",700,3.39,"347,697","20,250","20,300","19,500","27,314","16,033",1.7036113016902639
40,270520,지엔원에너지,"4,130",145,3.39,"725,067","4,310","4,315","4,130","92,952","15,512",5.992264053635894
41,290520,신도기연,"6,070",210,3.34,"134,933","6,100","6,160","6,000","13,200","8,460",1.5602836879432624
42,171090,선익시스템,"19,350",650,3.25,"106,106","19,700","19,900","19,250","21,892","10,501",2.0847538329682886
43,064800,젬백스링크,"1,350",45,3.23,"69,240","1,365","1,375","1,350","45,623","23,038",1.980336834794687
44,307870,비투엔,"2,140",70,3.17,"104,204","2,140","2,180","2,120","17,081","12,609",1.3546673011341106
45,046070,코다코,"1,105",35,3.07,"30,947","1,125","1,125","1,090","37,295","38,014",0.9810859157152628
46,035290,골드앤에스,"6,990",220,3.05,"62,577","7,210","7,360","6,990","8,660","1,634",5.299877600979192
47,296640,이노룰스,"12,700",400,3.05,"122,951","12,850","12,900","12,400","15,639","10,930",1.4308325709057639
48,196700,웹스,"3,365",105,3.03,"96,874","3,470","3,470","3,255","12,220","7,949",1.5373002893445717
49,237820,플레이디,"6,170",190,2.99,"209,338","6,220","6,310","6,010","3,918","3,646",1.074602303894679
50,365900,브이씨,"7,790",240,2.99,"35,439","8,000","8,000","7,750","3,629","2,475",1.4662626262626262
51,315640,딥노이드,"7,300",220,2.93,"76,124","7,370","7,440","7,230","4,492","8,344",0.5383509108341323
52,288980,모아데이타,"2,830",85,2.92,"517,289","2,845","2,880","2,810","110,990","45,733",2.426912732600092
53,115440,우리넷,"9,320",280,2.92,"79,021","9,600","9,600","9,290","12,957","3,015",4.297512437810945
54,053060,세동,"1,505",45,2.90,"24,895","1,535","1,535","1,505","33,197","41,460",0.8006994693680656
55,291810,핀텔,"8,110",240,2.87,"216,424","8,190","8,270","7,970","16,176","5,001",3.2345530893821235
56,027360,아주IB투자,"2,535",75,2.87,"61,731","2,580","2,580","2,520","19,619","21,959",0.8934377703902728
