,종목코드,등락률,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,매수총잔량,매도총잔량,매수매도잔량비
0,094480,31.17,갤럭시아머니트리,"6,060","1,285",26.91,"16,107,859","4,700","6,200","4,620","56,448","101,830",0.5543356574683296
2,419530,23.51,SAMG엔터,"47,800","8,300",21.01,"4,893,866","38,900","49,300","38,700","8,142","12,700",0.6411023622047244
3,257720,17.62,실리콘투,"2,970",410,16.02,"38,786,121","2,550","3,140","2,525","270,976","213,567",1.2688102562661834
4,016100,13.80,리더스코스메틱,"3,710",425,12.94,"1,268,364","3,295","3,975","3,260","5,381","5,722",0.9404054526389375
5,082660,13.20,코스나인,935,75,8.72,"8,787,991",871,968,826,"86,609","35,663",2.4285393825533466
6,082920,12.97,비츠로셀,"17,850","1,950",12.26,"1,108,285","15,950","18,500","15,800","14,498","27,945",0.5188047951332976
7,158430,12.05,아톤,"25,100","2,100",9.13,"366,192","22,950","26,300","22,400","5,518","6,254",0.8823153181963543
8,425040,11.64,티이엠씨,"29,250","1,300",4.65,"4,731,817","27,950","32,900","26,200","14,881","6,340",2.347160883280757
9,362320,11.61,청담글로벌,"12,500",800,6.84,"6,775,243","11,600","13,150","11,200","192,312","273,496",0.7031620206511247
10,195940,11.48,HK이노엔,"42,250","4,400",11.62,"1,372,050","37,900","42,850","37,900","11,403","20,206",0.5643373255468672
11,098460,11.11,고영,"15,500","1,500",10.71,"1,038,299","14,150","15,550","13,950","26,745","96,671",0.2766600117925748
12,276730,11.07,제주맥주,"1,505",125,9.06,"15,084,930","1,380","1,755","1,355","182,830","80,379",2.274599086826161
13,096610,11.03,알에프세미,"3,120",265,9.28,"733,564","2,860","3,200","2,810","15,638","22,084",0.7081144720159391
14,039840,10.05,디오,"23,000","1,700",7.98,"312,364","21,000","23,100","20,900","8,348","16,182",0.5158818440242244
15,043610,9.96,지니뮤직,"4,085",290,7.64,"1,480,486","3,795","4,120","3,715","13,940","20,697",0.6735275643813113
